file,line,model,operation,verdict,evidence,file_hash_at_verify,verified_at,verified_by,session
server/src/generated/prisma/client/index.d.ts,103474,vRTrainingScenario,findFirst,JSDOC_EXAMPLE,"JSDoc @example block inside generated Prisma client .d.ts (line begins with ' * '); not executable code",d4cf4645df782fd9f282617dd9146ecc88fb733f7f0c9e18e0c0d7deecc91437,2026-05-30T00:00:00Z,session13_subagent_9,session13
server/src/generated/prisma/client/index.d.ts,103490,vRTrainingScenario,findFirstOrThrow,JSDOC_EXAMPLE,"JSDoc @example block inside generated Prisma client .d.ts (line begins with ' * '); not executable code",d4cf4645df782fd9f282617dd9146ecc88fb733f7f0c9e18e0c0d7deecc91437,2026-05-30T00:00:00Z,session13_subagent_9,session13
server/src/generated/prisma/client/index.d.ts,103505,vRTrainingScenario,findMany,JSDOC_EXAMPLE,"JSDoc @example block inside generated Prisma client .d.ts (line begins with ' * '); not executable code",d4cf4645df782fd9f282617dd9146ecc88fb733f7f0c9e18e0c0d7deecc91437,2026-05-30T00:00:00Z,session13_subagent_9,session13
server/src/generated/prisma/client/index.d.ts,103508,vRTrainingScenario,findMany,JSDOC_EXAMPLE,"JSDoc @example block inside generated Prisma client .d.ts (line begins with ' * '); not executable code",d4cf4645df782fd9f282617dd9146ecc88fb733f7f0c9e18e0c0d7deecc91437,2026-05-30T00:00:00Z,session13_subagent_9,session13
server/src/generated/prisma/client/index.d.ts,103511,vRTrainingScenario,findMany,JSDOC_EXAMPLE,"JSDoc @example block inside generated Prisma client .d.ts (line begins with ' * '); not executable code",d4cf4645df782fd9f282617dd9146ecc88fb733f7f0c9e18e0c0d7deecc91437,2026-05-30T00:00:00Z,session13_subagent_9,session13
server/src/generated/prisma/client/index.d.ts,103689,vRTrainingScenario,count,JSDOC_EXAMPLE,"JSDoc @example block inside generated Prisma client .d.ts (line begins with ' * '); not executable code",d4cf4645df782fd9f282617dd9146ecc88fb733f7f0c9e18e0c0d7deecc91437,2026-05-30T00:00:00Z,session13_subagent_9,session13
server/src/generated/prisma/client/index.d.ts,103714,user,aggregate,JSDOC_EXAMPLE,"JSDoc @example block inside generated Prisma client .d.ts (line begins with ' * '); not executable code",d4cf4645df782fd9f282617dd9146ecc88fb733f7f0c9e18e0c0d7deecc91437,2026-05-30T00:00:00Z,session13_subagent_9,session13
server/src/generated/prisma/client/index.d.ts,103738,user,groupBy,JSDOC_EXAMPLE,"JSDoc @example block inside generated Prisma client .d.ts (line begins with ' * '); not executable code",d4cf4645df782fd9f282617dd9146ecc88fb733f7f0c9e18e0c0d7deecc91437,2026-05-30T00:00:00Z,session13_subagent_9,session13
server/src/generated/prisma/client/index.d.ts,104666,vRTrainingSession,findUnique,JSDOC_EXAMPLE,"JSDoc @example block inside generated Prisma client .d.ts (line begins with ' * '); not executable code",d4cf4645df782fd9f282617dd9146ecc88fb733f7f0c9e18e0c0d7deecc91437,2026-05-30T00:00:00Z,session13_subagent_9,session13
server/src/generated/prisma/client/index.d.ts,104680,vRTrainingSession,findUniqueOrThrow,JSDOC_EXAMPLE,"JSDoc @example block inside generated Prisma client .d.ts (line begins with ' * '); not executable code",d4cf4645df782fd9f282617dd9146ecc88fb733f7f0c9e18e0c0d7deecc91437,2026-05-30T00:00:00Z,session13_subagent_9,session13
