site_number,file,line,call_signature,verdict,severity,evidence_quote,verified_at,verified_by,session
39,server/src/routes/privacy.ts,1712,router.post(,AUTH_MOUNT_VERIFIED,N/A,router.post(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
40,server/src/routes/privacy.ts,1756,router.get(,AUTH_MOUNT_VERIFIED,N/A,router.get(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
41,server/src/routes/privacy.ts,1786,router.post(,AUTH_MOUNT_VERIFIED,N/A,router.post(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
42,server/src/routes/privacy.ts,1817,router.patch(,AUTH_MOUNT_VERIFIED,N/A,router.patch(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
43,server/src/routes/privacy.ts,1854,router.post(,AUTH_MOUNT_VERIFIED,N/A,router.post(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
44,server/src/routes/privacy.ts,1893,router.get(,AUTH_MOUNT_VERIFIED,N/A,router.get(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
45,server/src/routes/privacy.ts,1922,router.post(,AUTH_MOUNT_VERIFIED,N/A,router.post(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
46,server/src/routes/privacy.ts,1960,router.patch(,AUTH_MOUNT_VERIFIED,N/A,router.patch(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
47,server/src/routes/privacy.ts,1999,router.post(,AUTH_MOUNT_VERIFIED,N/A,router.post(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
48,server/src/routes/privacy.ts,2035,router.get(,AUTH_MOUNT_VERIFIED,N/A,router.get(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
49,server/src/routes/privacy.ts,2065,router.post(,AUTH_MOUNT_VERIFIED,N/A,router.post(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
50,server/src/routes/privacy.ts,2107,router.patch(,AUTH_MOUNT_VERIFIED,N/A,router.patch(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
51,server/src/routes/privacy.ts,2143,router.post(,AUTH_MOUNT_VERIFIED,N/A,router.post(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
52,server/src/routes/privacy.ts,2170,router.post(,AUTH_MOUNT_VERIFIED,N/A,router.post(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
53,server/src/routes/privacy.ts,2197,router.post(,AUTH_MOUNT_VERIFIED,N/A,router.post(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
54,server/src/routes/privacy.ts,2229,router.get('/notices'; asyncHandler(async (req: Request; res: Response) => {,AUTH_MOUNT_VERIFIED,N/A,router.get('/notices'; asyncHandler(async (req: Request; res: Response) => {,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
55,server/src/routes/privacy.ts,2248,router.post('/notices'; asyncHandler(async (req: Request; res: Response) => {,AUTH_MOUNT_VERIFIED,N/A,router.post('/notices'; asyncHandler(async (req: Request; res: Response) => {,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
56,server/src/routes/privacy.ts,2258,router.get('/notices/:id'; asyncHandler(async (req: Request; res: Response) => {,AUTH_MOUNT_VERIFIED,N/A,router.get('/notices/:id'; asyncHandler(async (req: Request; res: Response) => {,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
57,server/src/routes/privacy.ts,2268,router.patch('/notices/:id'; asyncHandler(async (req: Request; res: Response) => {,AUTH_MOUNT_VERIFIED,N/A,router.patch('/notices/:id'; asyncHandler(async (req: Request; res: Response) => {,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
58,server/src/routes/privacy.ts,2282,router.delete('/notices/:id'; asyncHandler(async (req: Request; res: Response) => {,AUTH_MOUNT_VERIFIED,N/A,router.delete('/notices/:id'; asyncHandler(async (req: Request; res: Response) => {,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
59,server/src/routes/privacy.ts,2293,router.post('/notices/:id/impression'; asyncHandler(async (req: Request; res: Response) => {,AUTH_MOUNT_VERIFIED,N/A,router.post('/notices/:id/impression'; asyncHandler(async (req: Request; res: Response) => {,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
60,server/src/routes/privacy.ts,2307,router.post('/notices/:id/accept'; asyncHandler(async (req: Request; res: Response) => {,AUTH_MOUNT_VERIFIED,N/A,router.post('/notices/:id/accept'; asyncHandler(async (req: Request; res: Response) => {,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
61,server/src/routes/privacy.ts,2321,router.post('/notices/:id/dismiss'; asyncHandler(async (req: Request; res: Response) => {,AUTH_MOUNT_VERIFIED,N/A,router.post('/notices/:id/dismiss'; asyncHandler(async (req: Request; res: Response) => {,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
62,server/src/routes/privacy.ts,2335,router.get('/notices/by-context/:context'; asyncHandler(async (req: Request; res: Response) => {,AUTH_MOUNT_VERIFIED,N/A,router.get('/notices/by-context/:context'; asyncHandler(async (req: Request; res: Response) => {,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
63,server/src/routes/privacy.ts,2353,router.get('/child-consent/config'; asyncHandler(async (req: Request; res: Response) => {,AUTH_MOUNT_VERIFIED,N/A,router.get('/child-consent/config'; asyncHandler(async (req: Request; res: Response) => {,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
64,server/src/routes/privacy.ts,2380,router.post('/child-consent/verify-age'; asyncHandler(async (req: Request; res: Response) => {,AUTH_MOUNT_VERIFIED,N/A,router.post('/child-consent/verify-age'; asyncHandler(async (req: Request; res: Response) => {,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
65,server/src/routes/privacy.ts,2434,router.post('/child-consent/parental-consent'; asyncHandler(async (req: Request; res: Response) => {,AUTH_MOUNT_VERIFIED,N/A,router.post('/child-consent/parental-consent'; asyncHandler(async (req: Request; res: Response) => {,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
66,server/src/routes/privacy.ts,2463,router.get('/child-consent/pending'; asyncHandler(async (req: Request; res: Response) => {,AUTH_MOUNT_VERIFIED,N/A,router.get('/child-consent/pending'; asyncHandler(async (req: Request; res: Response) => {,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
67,server/src/routes/status.ts,20,router.get(,PUBLIC_INTENTIONAL,N/A,router.get(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
68,server/src/routes/status.ts,62,router.get(,PUBLIC_INTENTIONAL,N/A,router.get(,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
69,server/src/routes/acos.ts,65,router.post('/goals'; ...requireAcosFeature('acosGoals'); authorize('admin'; 'editor'); validateBody(createGoalSchema); asyncHandler(acosController.createGoal));,AUTH_MOUNT_VERIFIED,N/A,router.post('/goals'; ...requireAcosFeature('acosGoals'); authorize('admin'; 'editor'); validateBody(createGoalSchema); asyncHandler(acosController.createGoal));,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
70,server/src/routes/acos.ts,66,router.get('/goals'; ...requireAcosFeature('acosGoals'); asyncHandler(acosController.getGoals));,AUTH_MOUNT_VERIFIED,N/A,router.get('/goals'; ...requireAcosFeature('acosGoals'); asyncHandler(acosController.getGoals));,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
71,server/src/routes/acos.ts,67,router.get('/goals/:goalId'; ...requireAcosFeature('acosGoals'); asyncHandler(acosController.getGoal));,AUTH_MOUNT_VERIFIED,N/A,router.get('/goals/:goalId'; ...requireAcosFeature('acosGoals'); asyncHandler(acosController.getGoal));,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
72,server/src/routes/acos.ts,68,router.patch('/goals/:goalId'; ...requireAcosFeature('acosGoals'); authorize('admin'; 'editor'); validateBody(updateGoalSchema); asyncHandler(acosController.updateGoal));,AUTH_MOUNT_VERIFIED,N/A,router.patch('/goals/:goalId'; ...requireAcosFeature('acosGoals'); authorize('admin'; 'editor'); validateBody(updateGoalSchema); asyncHandler(acosController.updateGoal));,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
73,server/src/routes/acos.ts,69,router.delete('/goals/:goalId'; ...requireAcosFeature('acosGoals'); authorize('admin'; 'editor'); asyncHandler(acosController.deleteGoal));,AUTH_MOUNT_VERIFIED,N/A,router.delete('/goals/:goalId'; ...requireAcosFeature('acosGoals'); authorize('admin'; 'editor'); asyncHandler(acosController.deleteGoal));,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
74,server/src/routes/acos.ts,70,router.post('/goals/:goalId/restore'; ...requireAcosFeature('acosGoals'); authorize('admin'; 'editor'); asyncHandler(acosController.restoreGoal));,AUTH_MOUNT_VERIFIED,N/A,router.post('/goals/:goalId/restore'; ...requireAcosFeature('acosGoals'); authorize('admin'; 'editor'); asyncHandler(acosController.restoreGoal));,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
75,server/src/routes/acos.ts,73,router.post('/control-loops'; ...requireAcosFeature('acosControlLoops'); authorize('admin'; 'editor'); validateBody(createControlLoopSchema); asyncHandler(acosController.createControlLoop));,AUTH_MOUNT_VERIFIED,N/A,router.post('/control-loops'; ...requireAcosFeature('acosControlLoops'); authorize('admin'; 'editor'); validateBody(createControlLoopSchema); asyncHandler(acosController.createControlLoop));,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
76,server/src/routes/acos.ts,74,router.get('/control-loops/:loopId'; ...requireAcosFeature('acosControlLoops'); asyncHandler(acosController.getControlLoop));,AUTH_MOUNT_VERIFIED,N/A,router.get('/control-loops/:loopId'; ...requireAcosFeature('acosControlLoops'); asyncHandler(acosController.getControlLoop));,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
77,server/src/routes/acos.ts,75,router.get('/control-loops/:loopId/history'; ...requireAcosFeature('acosControlLoops'); asyncHandler(acosController.getControlLoopHistory));,AUTH_MOUNT_VERIFIED,N/A,router.get('/control-loops/:loopId/history'; ...requireAcosFeature('acosControlLoops'); asyncHandler(acosController.getControlLoopHistory));,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
78,server/src/routes/acos.ts,76,router.post('/control-loops/:loopId/execute'; ...requireAcosFeature('acosControlLoops'); authorize('admin'; 'editor'); asyncHandler(acosController.executeControlLoop));,AUTH_MOUNT_VERIFIED,N/A,router.post('/control-loops/:loopId/execute'; ...requireAcosFeature('acosControlLoops'); authorize('admin'; 'editor'); asyncHandler(acosController.executeControlLoop));,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
79,server/src/routes/acos.ts,77,router.post('/control-loops/:loopId/pause'; ...requireAcosFeature('acosControlLoops'); authorize('admin'; 'editor'); asyncHandler(acosController.pauseControlLoop));,AUTH_MOUNT_VERIFIED,N/A,router.post('/control-loops/:loopId/pause'; ...requireAcosFeature('acosControlLoops'); authorize('admin'; 'editor'); asyncHandler(acosController.pauseControlLoop));,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
80,server/src/routes/acos.ts,78,router.post('/control-loops/:loopId/resume'; ...requireAcosFeature('acosControlLoops'); authorize('admin'; 'editor'); asyncHandler(acosController.resumeControlLoop));,AUTH_MOUNT_VERIFIED,N/A,router.post('/control-loops/:loopId/resume'; ...requireAcosFeature('acosControlLoops'); authorize('admin'; 'editor'); asyncHandler(acosController.resumeControlLoop));,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
81,server/src/routes/acos.ts,79,router.patch('/control-loops/:loopId'; ...requireAcosFeature('acosControlLoops'); authorize('admin'; 'editor'); validateBody(updateControlLoopSchema); asyncHandler(acosController.updateControlLoop));,AUTH_MOUNT_VERIFIED,N/A,router.patch('/control-loops/:loopId'; ...requireAcosFeature('acosControlLoops'); authorize('admin'; 'editor'); validateBody(updateControlLoopSchema); asyncHandler(acosController.updateControlLoop));,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
82,server/src/routes/acos.ts,80,router.delete('/control-loops/:loopId'; ...requireAcosFeature('acosControlLoops'); authorize('admin'; 'editor'); asyncHandler(acosController.deleteControlLoop));,AUTH_MOUNT_VERIFIED,N/A,router.delete('/control-loops/:loopId'; ...requireAcosFeature('acosControlLoops'); authorize('admin'; 'editor'); asyncHandler(acosController.deleteControlLoop));,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
83,server/src/routes/acos.ts,83,router.post('/agentic/estimate-blast-radius'; ...requireAcosFeature('acosAgenticActions'); authorize('admin'; 'editor'); validateBody(estimateBlastRadiusSchema); asyncHandler(acosController.estimateBlastRadius));,AUTH_MOUNT_VERIFIED,N/A,router.post('/agentic/estimate-blast-radius'; ...requireAcosFeature('acosAgenticActions'); authorize('admin'; 'editor'); validateBody(estimateBlastRadiusSchema); asyncHandler(acosController.estimateBlastRadius));,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
84,server/src/routes/acos.ts,84,router.post('/agentic/execute-action'; ...requireAcosFeature('acosAgenticActions'); authorize('admin'; 'editor'); validateBody(executeActionSchema); asyncHandler(acosController.executeAction));,AUTH_MOUNT_VERIFIED,N/A,router.post('/agentic/execute-action'; ...requireAcosFeature('acosAgenticActions'); authorize('admin'; 'editor'); validateBody(executeActionSchema); asyncHandler(acosController.executeAction));,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
85,server/src/routes/acos.ts,85,router.post('/agentic/rollback/:actionId'; ...requireAcosFeature('acosAgenticActions'); authorize('admin'); asyncHandler(acosController.rollbackAction));,AUTH_MOUNT_VERIFIED,N/A,router.post('/agentic/rollback/:actionId'; ...requireAcosFeature('acosAgenticActions'); authorize('admin'); asyncHandler(acosController.rollbackAction));,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
86,server/src/routes/acos.ts,86,router.post('/agentic/rollback-multiple'; ...requireAcosFeature('acosAgenticActions'); authorize('admin'); validateBody(rollbackMultipleSchema); asyncHandler(acosController.rollbackMultipleActions));,AUTH_MOUNT_VERIFIED,N/A,router.post('/agentic/rollback-multiple'; ...requireAcosFeature('acosAgenticActions'); authorize('admin'); validateBody(rollbackMultipleSchema); asyncHandler(acosController.rollbackMultipleActions));,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
87,server/src/routes/acos.ts,90,router.get('/evidence/anchor-sla'; ...requireAcosFeature('acosEvidenceTruth'); authorize('admin'); asyncHandler(acosController.getAnchorSLA));,AUTH_MOUNT_VERIFIED,N/A,router.get('/evidence/anchor-sla'; ...requireAcosFeature('acosEvidenceTruth'); authorize('admin'); asyncHandler(acosController.getAnchorSLA));,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
88,server/src/routes/acos.ts,92,router.post('/evidence/bulk-analyze'; ...requireAcosFeature('acosEvidenceTruth'); authorize('admin'; 'editor'); validateBody(bulkAnalyzeEvidenceSchema); asyncHandler(acosController.bulkAnalyzeEvidence));,AUTH_MOUNT_VERIFIED,N/A,router.post('/evidence/bulk-analyze'; ...requireAcosFeature('acosEvidenceTruth'); authorize('admin'; 'editor'); validateBody(bulkAnalyzeEvidenceSchema); asyncHandler(acosController.bulkAnalyzeEvidence));,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
89,server/src/routes/acos.ts,93,router.post('/evidence/verify-hash'; ...requireAcosFeature('acosEvidenceTruth'); upload.single('file'); validateMultipartBody(verifyFileHashSchema); asyncHandler(acosController.verifyFileHash));,AUTH_MOUNT_VERIFIED,N/A,router.post('/evidence/verify-hash'; ...requireAcosFeature('acosEvidenceTruth'); upload.single('file'); validateMultipartBody(verifyFileHashSchema); asyncHandler(acosController.verifyFileHash));,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
90,server/src/routes/acos.ts,94,router.post('/evidence/sign'; ...requireAcosFeature('acosEvidenceTruth'); upload.single('file'); authorize('admin'; 'editor'); asyncHandler(acosController.signEvidence));,AUTH_MOUNT_VERIFIED,N/A,router.post('/evidence/sign'; ...requireAcosFeature('acosEvidenceTruth'); upload.single('file'); authorize('admin'; 'editor'); asyncHandler(acosController.signEvidence));,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
91,server/src/routes/acos.ts,95,router.post('/evidence/verify-signature'; ...requireAcosFeature('acosEvidenceTruth'); upload.single('file'); validateMultipartBody(verifyEvidenceSignatureSchema); asyncHandler(acosController.verifyEvidenceSignature));,AUTH_MOUNT_VERIFIED,N/A,router.post('/evidence/verify-signature'; ...requireAcosFeature('acosEvidenceTruth'); upload.single('file'); validateMultipartBody(verifyEvidenceSignatureSchema); asyncHandler(acosController.verifyEvidenceSignature));,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
92,server/src/routes/acos.ts,96,router.post('/evidence/timestamp'; ...requireAcosFeature('acosEvidenceTruth'); upload.single('file'); authorize('admin'; 'editor'); asyncHandler(acosController.timestampEvidence));,AUTH_MOUNT_VERIFIED,N/A,router.post('/evidence/timestamp'; ...requireAcosFeature('acosEvidenceTruth'); upload.single('file'); authorize('admin'; 'editor'); asyncHandler(acosController.timestampEvidence));,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
93,server/src/routes/acos.ts,97,router.post('/evidence/chain-of-custody'; ...requireAcosFeature('acosEvidenceTruth'); authorize('admin'; 'editor'); validateBody(chainOfCustodySchema); asyncHandler(acosController.createChainOfCustody));,AUTH_MOUNT_VERIFIED,N/A,router.post('/evidence/chain-of-custody'; ...requireAcosFeature('acosEvidenceTruth'); authorize('admin'; 'editor'); validateBody(chainOfCustodySchema); asyncHandler(acosController.createChainOfCustody));,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
94,server/src/routes/acos.ts,98,router.post('/evidence/multi-party-attestation'; ...requireAcosFeature('acosEvidenceTruth'); upload.single('file'); authorize('admin'; 'editor'); validateMultipartBody(multiPartyAttestationSchema; { jsonFields: ['parties'] }); asyncHandler(acosController.createMultiPartyAttestation));,AUTH_MOUNT_VERIFIED,N/A,router.post('/evidence/multi-party-attestation'; ...requireAcosFeature('acosEvidenceTruth'); upload.single('file'); authorize('admin'; 'editor'); validateMultipartBody(multiPartyAttestationSchema; { jsonFields: ['parties'] }); asyncHandler(acosController.createMultiPartyAttestation));,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
95,server/src/routes/acos.ts,100,router.post('/evidence/:evidenceId/analyze'; ...requireAcosFeature('acosEvidenceTruth'); validateParams(evidenceIdParamSchema); upload.single('file'); asyncHandler(acosController.analyzeEvidence));,AUTH_MOUNT_VERIFIED,N/A,router.post('/evidence/:evidenceId/analyze'; ...requireAcosFeature('acosEvidenceTruth'); validateParams(evidenceIdParamSchema); upload.single('file'); asyncHandler(acosController.analyzeEvidence));,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
96,server/src/routes/acos.ts,101,router.get('/evidence/:evidenceId/analysis'; ...requireAcosFeature('acosEvidenceTruth'); validateParams(evidenceIdParamSchema); asyncHandler(acosController.getEvidenceAnalysis));,AUTH_MOUNT_VERIFIED,N/A,router.get('/evidence/:evidenceId/analysis'; ...requireAcosFeature('acosEvidenceTruth'); validateParams(evidenceIdParamSchema); asyncHandler(acosController.getEvidenceAnalysis));,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
97,server/src/routes/acos.ts,102,router.post('/evidence/:evidenceId/reanalyze'; ...requireAcosFeature('acosEvidenceTruth'); validateParams(evidenceIdParamSchema); upload.single('file'); authorize('admin'; 'editor'); asyncHandler(acosController.reanalyzeEvidence));,AUTH_MOUNT_VERIFIED,N/A,router.post('/evidence/:evidenceId/reanalyze'; ...requireAcosFeature('acosEvidenceTruth'); validateParams(evidenceIdParamSchema); upload.single('file'); authorize('admin'; 'editor'); asyncHandler(acosController.reanalyzeEvidence));,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
98,server/src/routes/acos.ts,103,router.get('/evidence/:evidenceId/analysis/history'; ...requireAcosFeature('acosEvidenceTruth'); validateParams(evidenceIdParamSchema); asyncHandler(acosController.getAnalysisHistory));,AUTH_MOUNT_VERIFIED,N/A,router.get('/evidence/:evidenceId/analysis/history'; ...requireAcosFeature('acosEvidenceTruth'); validateParams(evidenceIdParamSchema); asyncHandler(acosController.getAnalysisHistory));,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
99,server/src/routes/acos.ts,104,router.get('/evidence/:evidenceId/analysis/export'; ...requireAcosFeature('acosEvidenceTruth'); validateParams(evidenceIdParamSchema); asyncHandler(acosController.exportAnalysisReport));,AUTH_MOUNT_VERIFIED,N/A,router.get('/evidence/:evidenceId/analysis/export'; ...requireAcosFeature('acosEvidenceTruth'); validateParams(evidenceIdParamSchema); asyncHandler(acosController.exportAnalysisReport));,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
100,server/src/routes/acos.ts,106,router.post('/evidence/:evidenceId/analyze-and-anchor'; ...requireAcosFeature('acosEvidenceTruth'); validateParams(evidenceIdParamSchema); authorize('admin'; 'editor'); upload.single('file'); validateMultipartBody(analyzeAndAnchorSchema); asyncHandler(acosController.analyzeAndAnchor));,AUTH_MOUNT_VERIFIED,N/A,router.post('/evidence/:evidenceId/analyze-and-anchor'; ...requireAcosFeature('acosEvidenceTruth'); validateParams(evidenceIdParamSchema); authorize('admin'; 'editor'); upload.single('file'); validateMultipartBody(analyzeAndAnchorSchema); asyncHandler(acosController.analyzeAndAnchor));,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
101,server/src/routes/acos.ts,107,router.post('/evidence/:evidenceId/verify-integrity'; ...requireAcosFeature('acosEvidenceTruth'); validateParams(evidenceIdParamSchema); upload.single('file'); asyncHandler(acosController.verifyIntegrity));,AUTH_MOUNT_VERIFIED,N/A,router.post('/evidence/:evidenceId/verify-integrity'; ...requireAcosFeature('acosEvidenceTruth'); validateParams(evidenceIdParamSchema); upload.single('file'); asyncHandler(acosController.verifyIntegrity));,2026-05-28T22:30:00Z,session7_subagents_1-20,session7
