row_number,file,line,mount_snippet,verdict,evidence_lines_read,evidence_quote,verified_at,verified_by
25,server/src/index.ts,592,"app.use('/api/onboarding'  apiLimiter  onboardingRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:592,"app.use('/api/onboarding'; apiLimiter; onboardingRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_01
26,server/src/index.ts,595,"app.use('/api/export'  apiLimiter  exportRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:595,"app.use('/api/export'; apiLimiter; exportRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_01
27,server/src/index.ts,598,"app.use('/api/marketplace'  apiLimiter  marketplaceRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:598,"app.use('/api/marketplace'; apiLimiter; marketplaceRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_01
28,server/src/index.ts,601,"app.use('/api/modules'  apiLimiter  featureModulesRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:601,"app.use('/api/modules'; apiLimiter; featureModulesRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_01
29,server/src/index.ts,604,"app.use('/api/dora'  apiLimiter  doraRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:604,"app.use('/api/dora'; apiLimiter; doraRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_01
30,server/src/index.ts,607,"app.use('/api/auditor'  apiLimiter  auditorRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:607,"app.use('/api/auditor'; apiLimiter; auditorRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_01
31,server/src/index.ts,610,"app.use('/api/sox'  apiLimiter  soxRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:610,"app.use('/api/sox'; apiLimiter; soxRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_01
32,server/src/index.ts,613,"app.use('/api/sod'  apiLimiter  sodRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:613,"app.use('/api/sod'; apiLimiter; sodRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_01
33,server/src/index.ts,616,"app.use('/api/mdm'  apiLimiter  mdmRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:616,"app.use('/api/mdm'; apiLimiter; mdmRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_01
34,server/src/index.ts,619,"app.use('/api/workflows'  apiLimiter  workflowRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:619,"app.use('/api/workflows'; apiLimiter; workflowRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_01
35,server/src/index.ts,622,"app.use('/api/privacy'  apiLimiter  privacyRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:622,"app.use('/api/privacy'; apiLimiter; privacyRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_01
36,server/src/index.ts,625,"app.use('/api/dpia'  apiLimiter  dpiaRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:625,"app.use('/api/dpia'; apiLimiter; dpiaRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_01
37,server/src/index.ts,628,"app.use('/api/ropa'  apiLimiter  ropaRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:628,"app.use('/api/ropa'; apiLimiter; ropaRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_01
38,server/src/index.ts,631,"app.use('/api/cookie-consent'  apiLimiter  cookieConsentRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:631,"app.use('/api/cookie-consent'; apiLimiter; cookieConsentRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_01
39,server/src/index.ts,634,"app.use('/api/dpo'  apiLimiter  dpoRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:634,"app.use('/api/dpo'; apiLimiter; dpoRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_01
40,server/src/index.ts,637,"app.use('/api/security-training'  apiLimiter  securityTrainingRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:637,"app.use('/api/security-training'; apiLimiter; securityTrainingRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_01
41,server/src/index.ts,640,"app.use('/api/anonymization'  apiLimiter  anonymizationRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:640,"app.use('/api/anonymization'; apiLimiter; anonymizationRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_01
42,server/src/index.ts,643,"app.use('/api/incidents'  apiLimiter  incidentRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:643,"app.use('/api/incidents'; apiLimiter; incidentRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_01
43,server/src/index.ts,644,"app.use('/api/assets'  apiLimiter  assetRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:644,"app.use('/api/assets'; apiLimiter; assetRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_01
44,server/src/index.ts,645,"app.use('/api/calendar'  apiLimiter  calendarRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:645,"app.use('/api/calendar'; apiLimiter; calendarRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_01
45,server/src/index.ts,646,"app.use('/api/maturity'  apiLimiter  maturityRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:646,"app.use('/api/maturity'; apiLimiter; maturityRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_01
46,server/src/index.ts,647,"app.use('/api/bia'  apiLimiter  biaRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:647,"app.use('/api/bia'; apiLimiter; biaRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_01
47,server/src/index.ts,648,"app.use('/api/exceptions'  apiLimiter  exceptionRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:648,"app.use('/api/exceptions'; apiLimiter; exceptionRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_01
48,server/src/index.ts,649,"app.use('/api/certifications'  apiLimiter  certificationRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:649,"app.use('/api/certifications'; apiLimiter; certificationRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_01
49,server/src/index.ts,650,"app.use('/api/costs'  apiLimiter  costRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:650,"app.use('/api/costs'; apiLimiter; costRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_01
50,server/src/index.ts,651,"app.use('/api/executive'  apiLimiter  executiveRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:651,"app.use('/api/executive'; apiLimiter; executiveRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_01
51,server/src/index.ts,652,"app.use('/api/control-effectiveness'  apiLimiter  controlEffectivenessRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:640-690,"app.use('/api/control-effectiveness'; apiLimiter; controlEffectivenessRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_02
52,server/src/index.ts,653,"app.use('/api/regulatory-changes'  apiLimiter  regulatoryChangeRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:640-690,"app.use('/api/regulatory-changes'; apiLimiter; regulatoryChangeRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_02
53,server/src/index.ts,654,"app.use('/api/evidence-collection'  apiLimiter  evidenceCollectionRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:640-690,"app.use('/api/evidence-collection'; apiLimiter; evidenceCollectionRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_02
54,server/src/index.ts,655,"app.use('/api/audit-prep'  apiLimiter  auditPrepRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:640-690,"app.use('/api/audit-prep'; apiLimiter; auditPrepRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_02
55,server/src/index.ts,657,"app.use('/api/vendor-monitoring'  apiLimiter  vendorMonitoringRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:640-690,"app.use('/api/vendor-monitoring'; apiLimiter; vendorMonitoringRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_02
56,server/src/index.ts,658,"app.use('/api/cicd-gates'  apiLimiter  cicdGateRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:640-690,"app.use('/api/cicd-gates'; apiLimiter; cicdGateRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_02
57,server/src/index.ts,659,"app.use('/api/sso'  ssoLimiter  ssoRoutes); // Generous rate limiter for SSO callbacks",RATE_LIMITED_INLINE,server/src/index.ts:640-690,"app.use('/api/sso'; ssoLimiter; ssoRoutes); // Generous rate limiter for SSO callbacks",2026-05-25T00:00:00Z,rate_limits_chunk_02
58,server/src/index.ts,660,"app.use('/api/scim'  scimLimiter  scimRoutes); // Generous rate limiter for SCIM provisioning",RATE_LIMITED_INLINE,server/src/index.ts:640-690,"app.use('/api/scim'; scimLimiter; scimRoutes); // Generous rate limiter for SCIM provisioning",2026-05-25T00:00:00Z,rate_limits_chunk_02
59,server/src/index.ts,661,"app.use('/api/roles'  apiLimiter  roleRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:640-690,"app.use('/api/roles'; apiLimiter; roleRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_02
60,server/src/index.ts,662,"app.use('/api/branding'  apiLimiter  brandingRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:640-690,"app.use('/api/branding'; apiLimiter; brandingRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_02
61,server/src/index.ts,663,"app.use('/api/search'  apiLimiter  searchRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:640-690,"app.use('/api/search'; apiLimiter; searchRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_02
62,server/src/index.ts,664,"app.use('/api/notifications'  apiLimiter  notificationRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:640-690,"app.use('/api/notifications'; apiLimiter; notificationRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_02
63,server/src/index.ts,665,"app.use('/api/dashboards'  apiLimiter  dashboardRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:640-690,"app.use('/api/dashboards'; apiLimiter; dashboardRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_02
64,server/src/index.ts,666,"app.use('/api/reports'  apiLimiter  reportRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:640-690,"app.use('/api/reports'; apiLimiter; reportRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_02
65,server/src/index.ts,667,"app.use('/api/bulk'  apiLimiter  bulkRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:640-690,"app.use('/api/bulk'; apiLimiter; bulkRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_02
66,server/src/index.ts,668,"app.use('/api/ticketing'  apiLimiter  ticketingRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:640-690,"app.use('/api/ticketing'; apiLimiter; ticketingRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_02
67,server/src/index.ts,669,"app.use('/api/compliance'  apiLimiter  complianceRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:640-690,"app.use('/api/compliance'; apiLimiter; complianceRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_02
68,server/src/index.ts,670,"app.use('/api/realtime'  apiLimiter  realTimeComplianceRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:640-690,"app.use('/api/realtime'; apiLimiter; realTimeComplianceRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_02
69,server/src/index.ts,671,"app.use('/api/iso27001'  apiLimiter  iso27001Routes);",RATE_LIMITED_INLINE,server/src/index.ts:640-690,"app.use('/api/iso27001'; apiLimiter; iso27001Routes);",2026-05-25T00:00:00Z,rate_limits_chunk_02
70,server/src/index.ts,672,"app.use('/api/hipaa'  apiLimiter  hipaaRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:640-690,"app.use('/api/hipaa'; apiLimiter; hipaaRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_02
71,server/src/index.ts,673,"app.use('/api/pci-dss'  apiLimiter  pciDssRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:640-690,"app.use('/api/pci-dss'; apiLimiter; pciDssRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_02
72,server/src/index.ts,674,"app.use('/api/soc2'  apiLimiter  soc2Routes);",RATE_LIMITED_INLINE,server/src/index.ts:640-690,"app.use('/api/soc2'; apiLimiter; soc2Routes);",2026-05-25T00:00:00Z,rate_limits_chunk_02
73,server/src/index.ts,675,"app.use('/api/nist-csf'  apiLimiter  nistCsfRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:640-690,"app.use('/api/nist-csf'; apiLimiter; nistCsfRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_02
74,server/src/index.ts,676,"app.use('/api/nps'  apiLimiter  npsRoutes);",RATE_LIMITED_INLINE,server/src/index.ts:640-690,"app.use('/api/nps'; apiLimiter; npsRoutes);",2026-05-25T00:00:00Z,rate_limits_chunk_02
75,server/src/index.ts,686,"app.use('/api/v1'  apiLimiter  apiVersioningMiddleware()  v1Router);",RATE_LIMITED_INLINE,server/src/index.ts:680-690,"app.use('/api/v1'; apiLimiter; apiVersioningMiddleware(); v1Router);",2026-05-25T00:00:00Z,rate_limits_chunk_02
76,server/src/index.ts,687,"app.use('/api/v2'  apiLimiter  apiVersioningMiddleware()  v2Router);",RATE_LIMITED_INLINE,server/src/index.ts:680-690,"app.use('/api/v2'; apiLimiter; apiVersioningMiddleware(); v2Router);",2026-05-25T00:00:00Z,rate_limits_chunk_02
77,server/src/routes/scim.ts,256,"router.use('/v2/Users'  scimAuthenticate);",INTERNAL_NOT_USER_FACING,server/src/routes/scim.ts:240-280,"router.use('/v2/Users'; scimAuthenticate); // auth middleware attachment on scimRoutes which is mounted with scimLimiter at index.ts:660",2026-05-25T00:00:00Z,rate_limits_chunk_02
78,server/src/routes/scim.ts,257,"router.use('/v2/Groups'  scimAuthenticate);",INTERNAL_NOT_USER_FACING,server/src/routes/scim.ts:240-280,"router.use('/v2/Groups'; scimAuthenticate); // auth middleware attachment on scimRoutes which is mounted with scimLimiter at index.ts:660",2026-05-25T00:00:00Z,rate_limits_chunk_02
