row_number,file,line,snippet,verdict,evidence_lines_read,evidence_quote,verified_at,verified_by
11,server/src/controllers/euRegulationsController.ts,285,res.status(201).json({ adEntry });,STATUS_2XX_SUCCESS,server/src/controllers/euRegulationsController.ts:279-286,"addAdToRepository asyncHandler wrapper; happy-path 201.",2026-05-25T00:00:00Z,controllers_chunk_01
12,server/src/controllers/euRegulationsController.ts,303,res.status(201).json({ report });,STATUS_2XX_SUCCESS,server/src/controllers/euRegulationsController.ts:297-304,"generateDSATransparencyReport asyncHandler wrapper; happy-path 201.",2026-05-25T00:00:00Z,controllers_chunk_01
13,server/src/controllers/euRegulationsController.ts,322,res.status(201).json({ assessment });,STATUS_2XX_SUCCESS,server/src/controllers/euRegulationsController.ts:315-323,"conductDSARiskAssessment asyncHandler wrapper; happy-path 201.",2026-05-25T00:00:00Z,controllers_chunk_01
14,server/src/controllers/euRegulationsController.ts,358,res.status(201).json({ feedConfig });,STATUS_2XX_SUCCESS,server/src/controllers/euRegulationsController.ts:352-359,"configureNonPersonalizedFeed asyncHandler wrapper; happy-path 201.",2026-05-25T00:00:00Z,controllers_chunk_01
15,server/src/controllers/euRegulationsController.ts,394,res.status(204).send();,STATUS_2XX_SUCCESS,server/src/controllers/euRegulationsController.ts:388-395,"deletePlatform asyncHandler wrapper; happy-path 204 No Content after delete.",2026-05-25T00:00:00Z,controllers_chunk_01
16,server/src/controllers/evidenceVersioningController.ts,170,res.status(201).json({ version });,STATUS_2XX_SUCCESS,server/src/controllers/evidenceVersioningController.ts:150-176,"res.status(201).json({ version }); } catch (error) { logger.error(...); if (error instanceof AppError) throw error; throw new AppError(...; 500); }",2026-05-25T00:00:00Z,controllers_chunk_01
17,server/src/controllers/auditController.ts,135,res.status(201).json(auditLog);,STATUS_2XX_SUCCESS,server/src/controllers/auditController.ts:115-141,"res.status(201).json(auditLog); } catch (error) { logger.error(...); if (error instanceof AppError) throw error; throw new AppError(...; 500); }",2026-05-25T00:00:00Z,controllers_chunk_01
18,server/src/controllers/controlMappingsController.ts,90,"res.status(201).json({ message: 'Mapping created successfully'; mapping });",STATUS_2XX_SUCCESS,server/src/controllers/controlMappingsController.ts:80-96,"res.status(201).json({ message: 'Mapping created successfully'; mapping }); } catch (error) { logger.error(...); throw new AppError(...; 500); }",2026-05-25T00:00:00Z,controllers_chunk_01
19,server/src/controllers/webhookController.ts,104,res.status(201).json({,STATUS_2XX_SUCCESS,server/src/controllers/webhookController.ts:70-116,"createWebhook: res.status(201).json({ webhook; message: 'Webhook created successfully...' }); catch block re-throws AppError to global handler.",2026-05-25T00:00:00Z,controllers_chunk_01
20,server/src/controllers/webhookController.ts,205,"res.status(422).json({",STATUS_4XX_VALIDATION_OK,server/src/controllers/webhookController.ts:189-220,"testWebhook normal control-flow: result.success ? res.json : res.status(422).json({ success: false; message: 'Webhook delivery failed'; ... }). Not a catch block — it's reporting webhook test result.",2026-05-25T00:00:00Z,controllers_chunk_01
21,server/src/controllers/webhookController.ts,383,res.status(201).json({,STATUS_2XX_SUCCESS,server/src/controllers/webhookController.ts:348-401,"createApiKey: res.status(201).json({ id: apiKey.id; ... key: keyRaw; ... }); catch block uses throw new AppError for proper delegation.",2026-05-25T00:00:00Z,controllers_chunk_01
22,server/src/controllers/authController.ts,747,res.status(200).json(response);,STATUS_2XX_SUCCESS,server/src/controllers/authController.ts:720-749,"Existing-user magic-link happy path: response includes message and email; 200 response then return; no error context.",2026-05-25T00:00:00Z,controllers_chunk_01
23,server/src/controllers/authController.ts,822,res.status(201).json(response);,STATUS_2XX_SUCCESS,server/src/controllers/authController.ts:807-829,"Successful user registration response (201). Surrounding try/catch re-throws AppError to global handler.",2026-05-25T00:00:00Z,controllers_chunk_01
24,server/src/controllers/risksController.ts,164,res.status(201).json(risk);,STATUS_2XX_SUCCESS,server/src/controllers/risksController.ts:140-171,"res.status(201).json(risk); logger.info(...); } catch (error) { ... if (error instanceof AppError) throw error; throw new AppError('Failed to create risk'; 500); }",2026-05-25T00:00:00Z,controllers_chunk_01
25,server/src/controllers/demoController.ts,121,res.status(201).json({,STATUS_2XX_SUCCESS,server/src/controllers/demoController.ts:100-129,"res.status(201).json({ success: true; message: 'Demo request submitted successfully!...'; requestId }); catch block delegates via next(error).",2026-05-25T00:00:00Z,controllers_chunk_01
26,server/src/controllers/frameworksController.ts,191,res.status(201).json(framework);,STATUS_2XX_SUCCESS,server/src/controllers/frameworksController.ts:180-198,"res.status(201).json(framework); logger.info(...); } catch (error) { ... if (error instanceof AppError) throw error; throw new AppError(...; 500); }",2026-05-25T00:00:00Z,controllers_chunk_01
27,server/src/controllers/frameworksController.ts,565,res.status(201).json(control);,STATUS_2XX_SUCCESS,server/src/controllers/frameworksController.ts:549-571,"res.status(201).json(control); } catch (error) { logger.error(...); if (error instanceof AppError) throw error; throw new AppError(...; 500); }",2026-05-25T00:00:00Z,controllers_chunk_01
28,server/src/controllers/featureModulesController.ts,47,res.status(201).json(body);,STATUS_2XX_SUCCESS,server/src/controllers/featureModulesController.ts:40-48,"createGovernanceBody RequestHandler: validates input then res.status(201).json(body). Throws AppError on validation; async errors propagated via Express 5 promise auto-catch.",2026-05-25T00:00:00Z,controllers_chunk_01
29,server/src/controllers/featureModulesController.ts,72,res.status(201).json(meeting);,STATUS_2XX_SUCCESS,server/src/controllers/featureModulesController.ts:66-73,"createMeeting: validates governanceBodyId/title/date then res.status(201).json(meeting). Happy-path 201.",2026-05-25T00:00:00Z,controllers_chunk_01
30,server/src/controllers/featureModulesController.ts,94,res.status(201).json(decision);,STATUS_2XX_SUCCESS,server/src/controllers/featureModulesController.ts:88-95,"createDecision: validates inputs then prisma.create + res.status(201).json(decision). Happy-path 201.",2026-05-25T00:00:00Z,controllers_chunk_01
31,server/src/controllers/featureModulesController.ts,112,res.status(201).json(path);,STATUS_2XX_SUCCESS,server/src/controllers/featureModulesController.ts:106-113,"createEscalationPath: validates governanceBodyId/name then res.status(201).json(path). Happy-path 201.",2026-05-25T00:00:00Z,controllers_chunk_01
32,server/src/controllers/featureModulesController.ts,170,res.status(201).json(incident);,STATUS_2XX_SUCCESS,server/src/controllers/featureModulesController.ts:156-171,"createBreachIncident: validates inputs then prisma.create + res.status(201).json(incident). Happy-path 201.",2026-05-25T00:00:00Z,controllers_chunk_01
33,server/src/controllers/featureModulesController.ts,206,res.status(201).json(notification);,STATUS_2XX_SUCCESS,server/src/controllers/featureModulesController.ts:200-207,"createBreachNotification: validates breachId/recipientType then prisma.create + res.status(201).json(notification). Happy-path 201.",2026-05-25T00:00:00Z,controllers_chunk_01
34,server/src/controllers/featureModulesController.ts,234,res.status(201).json(template);,STATUS_2XX_SUCCESS,server/src/controllers/featureModulesController.ts:226-235,"createBreachTemplate: validates inputs then res.status(201).json(template). Happy-path 201.",2026-05-25T00:00:00Z,controllers_chunk_01
35,server/src/controllers/featureModulesController.ts,264,res.status(201).json(contact);,STATUS_2XX_SUCCESS,server/src/controllers/featureModulesController.ts:256-265,"createRegulatoryContact: validates inputs then res.status(201).json(contact). Happy-path 201.",2026-05-25T00:00:00Z,controllers_chunk_01
36,server/src/controllers/featureModulesController.ts,300,res.status(201).json(product);,STATUS_2XX_SUCCESS,server/src/controllers/featureModulesController.ts:294-301,"createCEProduct: validates name/category then res.status(201).json(product). Happy-path 201.",2026-05-25T00:00:00Z,controllers_chunk_01
37,server/src/controllers/featureModulesController.ts,471,res.status(201).json(passport);,STATUS_2XX_SUCCESS,server/src/controllers/featureModulesController.ts:465-472,"createDPP: validates productName then prisma.digitalProductPassport.create + res.status(201).json(passport). Happy-path 201.",2026-05-25T00:00:00Z,controllers_chunk_01
38,server/src/controllers/featureModulesController.ts,641,res.status(201).json(metric);,STATUS_2XX_SUCCESS,server/src/controllers/featureModulesController.ts:633-642,"createESGMetric: validates inputs then res.status(201).json(metric). Happy-path 201.",2026-05-25T00:00:00Z,controllers_chunk_01
39,server/src/controllers/featureModulesController.ts,668,res.status(201).json(assessment);,STATUS_2XX_SUCCESS,server/src/controllers/featureModulesController.ts:662-669,"createMaterialityAssessment: validates topic then res.status(201).json(assessment). Happy-path 201.",2026-05-25T00:00:00Z,controllers_chunk_01
40,server/src/controllers/featureModulesController.ts,741,res.status(201).json(report);,STATUS_2XX_SUCCESS,server/src/controllers/featureModulesController.ts:692-742,"generateESGReport: aggregates metrics + materiality into computed report object then res.status(201).json(report). Happy-path 201.",2026-05-25T00:00:00Z,controllers_chunk_01
41,server/src/controllers/featureModulesController.ts,792,res.status(201).json(entry);,STATUS_2XX_SUCCESS,server/src/controllers/featureModulesController.ts:784-793,"createSBOMEntry: validates inputs then res.status(201).json(entry). Happy-path 201.",2026-05-25T00:00:00Z,controllers_chunk_01
42,server/src/controllers/featureModulesController.ts,813,res.status(201).json({ created: result.count });,STATUS_2XX_SUCCESS,server/src/controllers/featureModulesController.ts:805-814,"bulkCreateSBOMEntries: validates array then prisma.sBOMEntry.createMany + res.status(201).json({ created: result.count }). Happy-path 201.",2026-05-25T00:00:00Z,controllers_chunk_01
43,server/src/controllers/featureModulesController.ts,830,res.status(201).json(repo);,STATUS_2XX_SUCCESS,server/src/controllers/featureModulesController.ts:824-831,"createSBOMRepository: validates name then res.status(201).json(repo). Happy-path 201.",2026-05-25T00:00:00Z,controllers_chunk_01
44,server/src/controllers/featureModulesController.ts,930,res.status(201).json(plan);,STATUS_2XX_SUCCESS,server/src/controllers/featureModulesController.ts:921-931,"createSurveillancePlan: validates productName/planType/frequency then res.status(201).json(plan). Happy-path 201.",2026-05-25T00:00:00Z,controllers_chunk_01
45,server/src/controllers/featureModulesController.ts,958,res.status(201).json(incident);,STATUS_2XX_SUCCESS,server/src/controllers/featureModulesController.ts:950-959,"createSurveillanceIncident: validates inputs then res.status(201).json(incident). Happy-path 201.",2026-05-25T00:00:00Z,controllers_chunk_01
46,server/src/controllers/featureModulesController.ts,993,res.status(201).json(recall);,STATUS_2XX_SUCCESS,server/src/controllers/featureModulesController.ts:982-994,"createProductRecall: validates inputs then res.status(201).json(recall). Happy-path 201.",2026-05-25T00:00:00Z,controllers_chunk_01
47,server/src/controllers/featureModulesController.ts,1029,res.status(201).json(product);,STATUS_2XX_SUCCESS,server/src/controllers/featureModulesController.ts:1017-1030,"createProductDecommission: validates productName then res.status(201).json(product). Happy-path 201.",2026-05-25T00:00:00Z,controllers_chunk_01
48,server/src/controllers/featureModulesController.ts,1065,res.status(201).json(assessment);,STATUS_2XX_SUCCESS,server/src/controllers/featureModulesController.ts:1059-1066,"createLifecycleAssessment: validates productName then res.status(201).json(assessment). Happy-path 201.",2026-05-25T00:00:00Z,controllers_chunk_01
49,server/src/controllers/featureModulesController.ts,1110,res.status(201).json(product);,STATUS_2XX_SUCCESS,server/src/controllers/featureModulesController.ts:1100-1111,"createProductLifecycle: validates productName then res.status(201).json(product). Happy-path 201.",2026-05-25T00:00:00Z,controllers_chunk_01
50,server/src/controllers/featureModulesController.ts,1153,res.status(201).json(map);,STATUS_2XX_SUCCESS,server/src/controllers/featureModulesController.ts:1147-1154,"createProcessMap: validates name/nodes/edges then res.status(201).json(map). Happy-path 201.",2026-05-25T00:00:00Z,controllers_chunk_01
51,server/src/controllers/featureModulesController.ts,1313,"res.status(404).json({ connected: false; error: `No active ${provider} integration found` });",STATUS_4XX_VALIDATION_OK,server/src/controllers/featureModulesController.ts:1304-1333,"if (!integration) { res.status(404).json({ connected: false; error: `No active ${provider} integration found` }); return; }  // early-return when no resource found — not inside catch",2026-05-25T00:00:00Z,controllers_chunk_02
52,server/src/controllers/featureModulesController.ts,1393,res.status(201).json(record);,STATUS_2XX_SUCCESS,server/src/controllers/featureModulesController.ts:1386-1394,"const record = await prisma.metricsHistory.create({...}); res.status(201).json(record);  // happy-path create response; not in catch",2026-05-25T00:00:00Z,controllers_chunk_02
53,server/src/controllers/aiRmfController.ts,29,res.status(201).json(aiSystem);,STATUS_2XX_SUCCESS,server/src/controllers/aiRmfController.ts:12-35,"try { ... const aiSystem = await aiRmfService.createAISystem(...); res.status(201).json(aiSystem); } catch (error) { ... throw new AppError(...) }",2026-05-25T00:00:00Z,controllers_chunk_02
54,server/src/controllers/aiRmfController.ts,272,res.status(201).json(actor);,STATUS_2XX_SUCCESS,server/src/controllers/aiRmfController.ts:264-278,"try { ... const actor = await aiRmfService.addActor(...); res.status(201).json(actor); } catch { throw new AppError(...) }",2026-05-25T00:00:00Z,controllers_chunk_02
55,server/src/controllers/aiRmfController.ts,316,res.status(201).json(assessment);,STATUS_2XX_SUCCESS,server/src/controllers/aiRmfController.ts:300-322,"try { ... const assessment = await aiRmfService.createAssessment(...); res.status(201).json(assessment); } catch { throw new AppError(...) }",2026-05-25T00:00:00Z,controllers_chunk_02
56,server/src/controllers/aiRmfController.ts,375,res.status(201).json(profile);,STATUS_2XX_SUCCESS,server/src/controllers/aiRmfController.ts:367-381,"try { ... const profile = await aiRmfService.createProfile(...); res.status(201).json(profile); } catch { throw new AppError(...) }",2026-05-25T00:00:00Z,controllers_chunk_02
57,server/src/controllers/aiRmfController.ts,403,res.status(201).json(riskActivity);,STATUS_2XX_SUCCESS,server/src/controllers/aiRmfController.ts:387-409,"try { ... const riskActivity = await aiRmfService.createRiskActivity(...); res.status(201).json(riskActivity); } catch { throw new AppError(...) }",2026-05-25T00:00:00Z,controllers_chunk_02
58,server/src/controllers/onboardingController.ts,161,"res.status(201).json({ event });",STATUS_2XX_SUCCESS,server/src/controllers/onboardingController.ts:141-167,"try { ... const event = await prisma.onboardingEvent.create({...}); res.status(201).json({ event }); } catch { throw new AppError(...) }",2026-05-25T00:00:00Z,controllers_chunk_02
59,server/src/routes/privacy.ts,252,res.status(201).json(dsar);,STATUS_2XX_SUCCESS,server/src/routes/privacy.ts:240-258,"... res.status(201).json(dsar); } catch (error) { if (error instanceof AppError) throw error; logger.error(...); throw new AppError('Failed to create DSAR'; 500); }",2026-05-25T00:00:00Z,controllers_chunk_02
60,server/src/routes/privacy.ts,499,res.status(201).json(record);,STATUS_2XX_SUCCESS,server/src/routes/privacy.ts:487-505,"... }); res.status(201).json(record); } catch (error) { if (error instanceof AppError) throw error; logger.error(...); throw new AppError('Failed to create consent record'; 500); }",2026-05-25T00:00:00Z,controllers_chunk_02
61,server/src/routes/privacy.ts,818,res.status(201).json(policy);,STATUS_2XX_SUCCESS,server/src/routes/privacy.ts:805-824,"... res.status(201).json(policy); } catch (error) { if (error instanceof AppError) throw error; logger.error(...); throw new AppError('Failed to create retention policy'; 500); }",2026-05-25T00:00:00Z,controllers_chunk_02
62,server/src/routes/privacy.ts,882,res.status(204).send();,STATUS_2XX_SUCCESS,server/src/routes/privacy.ts:867-889,"await prisma.retentionPolicy.delete({ where: { id: req.params.id } }); res.status(204).send();  // 204 No Content on successful delete; not in catch",2026-05-25T00:00:00Z,controllers_chunk_02
63,server/src/routes/privacy.ts,1045,res.status(201).json(template);,STATUS_2XX_SUCCESS,server/src/routes/privacy.ts:1030-1051,"... res.status(201).json(template); } catch (error) { if (error instanceof AppError) throw error; logger.error(...); throw new AppError('Failed to create SCC template'; 500); }",2026-05-25T00:00:00Z,controllers_chunk_02
64,server/src/routes/privacy.ts,1253,res.status(201).json(program);,STATUS_2XX_SUCCESS,server/src/routes/privacy.ts:1240-1259,"... res.status(201).json(program); } catch (error) { if (error instanceof AppError) throw error; logger.error(...); throw new AppError('Failed to create BCR program'; 500); }",2026-05-25T00:00:00Z,controllers_chunk_02
65,server/src/routes/privacy.ts,1367,res.status(201).json(preference);,STATUS_2XX_SUCCESS,server/src/routes/privacy.ts:1355-1373,"... res.status(201).json(preference); } catch (error) { if (error instanceof AppError) throw error; logger.error(...); throw new AppError('Failed to process marketing opt-out'; 500); }",2026-05-25T00:00:00Z,controllers_chunk_02
66,server/src/routes/privacy.ts,1452,res.status(201).json(entry);,STATUS_2XX_SUCCESS,server/src/routes/privacy.ts:1440-1458,"... res.status(201).json(entry); } catch (error) { if (error instanceof AppError) throw error; logger.error(...); throw new AppError('Failed to add to suppression list'; 500); }",2026-05-25T00:00:00Z,controllers_chunk_02
67,server/src/routes/privacy.ts,1587,res.status(201).json(request);,STATUS_2XX_SUCCESS,server/src/routes/privacy.ts:1575-1593,"... res.status(201).json(request); } catch (error) { if (error instanceof AppError) throw error; logger.error(...); throw new AppError('Failed to create deletion request'; 500); }",2026-05-25T00:00:00Z,controllers_chunk_02
68,server/src/routes/privacy.ts,1808,res.status(201).json(restriction);,STATUS_2XX_SUCCESS,server/src/routes/privacy.ts:1795-1814,"... res.status(201).json(restriction); } catch (error) { if (error instanceof AppError) throw error; logger.error(...); throw new AppError('Failed to create processing restriction'; 500); }",2026-05-25T00:00:00Z,controllers_chunk_02
69,server/src/routes/privacy.ts,1951,res.status(201).json(notice);,STATUS_2XX_SUCCESS,server/src/routes/privacy.ts:1935-1957,"... res.status(201).json(notice); } catch (error) { if (error instanceof AppError) throw error; logger.error(...); throw new AppError('Failed to create AI transparency notice'; 500); }",2026-05-25T00:00:00Z,controllers_chunk_02
70,server/src/routes/privacy.ts,2098,res.status(201).json(notice);,STATUS_2XX_SUCCESS,server/src/routes/privacy.ts:2080-2104,"... res.status(201).json(notice); } catch (error) { if (error instanceof AppError) throw error; logger.error(...); throw new AppError('Failed to create JIT privacy notice'; 500); }",2026-05-25T00:00:00Z,controllers_chunk_02
71,server/src/routes/privacy.ts,2254,res.status(201).json(notice);,STATUS_2XX_SUCCESS,server/src/routes/privacy.ts:2248-2255,"router.post('/notices'; asyncHandler(async (req; res) => { ... const notice = await prisma.jITPrivacyNotice.create({...}); res.status(201).json(notice); }));  // wrapped in asyncHandler; no catch — errors delegate to global",2026-05-25T00:00:00Z,controllers_chunk_02
72,server/src/routes/dpo.ts,103,res.status(201).json(profile);,STATUS_2XX_SUCCESS,server/src/routes/dpo.ts:90-109,"... res.status(201).json(profile); } catch (error) { if (error instanceof AppError) throw error; logger.error(...); throw new AppError('Failed to create DPO profile'; 500); }",2026-05-25T00:00:00Z,controllers_chunk_02
73,server/src/routes/dpo.ts,272,res.status(201).json(newTask);,STATUS_2XX_SUCCESS,server/src/routes/dpo.ts:260-278,"... res.status(201).json(newTask); } catch (error) { if (error instanceof AppError) throw error; logger.error(...); throw new AppError('Failed to add DPO task'; 500); }",2026-05-25T00:00:00Z,controllers_chunk_02
74,server/src/routes/dpo.ts,457,res.status(201).json(newEntry);,STATUS_2XX_SUCCESS,server/src/routes/dpo.ts:445-463,"... res.status(201).json(newEntry); } catch (error) { if (error instanceof AppError) throw error; logger.error(...); throw new AppError('Failed to record DPO activity'; 500); }",2026-05-25T00:00:00Z,controllers_chunk_02
75,server/src/routes/hipaa.ts,55,"res.status(201).json({ status: 'success'; data });",STATUS_2XX_SUCCESS,server/src/routes/hipaa.ts:45-57,"router.post('/phi-records'; ... authAsyncHandler(async (req; res) => { const data = await hipaaService.createPHIRecord({...}); res.status(201).json({ status: 'success'; data }); }));  // authAsyncHandler delegates errors to global",2026-05-25T00:00:00Z,controllers_chunk_02
76,server/src/routes/hipaa.ts,91,"res.status(201).json({ status: 'success'; data });",STATUS_2XX_SUCCESS,server/src/routes/hipaa.ts:81-93,"router.post('/access-grants'; ... authAsyncHandler(async (req; res) => { const data = await hipaaService.grantPHIAccess({...}); res.status(201).json({ status: 'success'; data }); }));  // delegated error handling",2026-05-25T00:00:00Z,controllers_chunk_02
77,server/src/routes/hipaa.ts,131,"res.status(201).json({ status: 'success'; data });",STATUS_2XX_SUCCESS,server/src/routes/hipaa.ts:121-133,"router.post('/baas'; ... authAsyncHandler(async (req; res) => { const data = await hipaaService.createBAA({...}); res.status(201).json({ status: 'success'; data }); }));",2026-05-25T00:00:00Z,controllers_chunk_02
78,server/src/routes/hipaa.ts,183,"res.status(201).json({ status: 'success'; data });",STATUS_2XX_SUCCESS,server/src/routes/hipaa.ts:173-185,"router.post('/breach-assessments'; ... authAsyncHandler(async (req; res) => { const data = await hipaaService.assessBreachRisk({...}); res.status(201).json({ status: 'success'; data }); }));",2026-05-25T00:00:00Z,controllers_chunk_02
79,server/src/routes/incidents.ts,256,"res.status(201).json({ status: 'success'; data: incident });",STATUS_2XX_SUCCESS,server/src/routes/incidents.ts:240-262,"... res.status(201).json({ status: 'success'; data: incident }); } catch (error) { logger.error(...); throw error instanceof AppError ? error : new AppError('Failed to create incident'; 500); }",2026-05-25T00:00:00Z,controllers_chunk_02
80,server/src/routes/incidents.ts,441,"res.status(201).json({ status: 'success'; data: entry });",STATUS_2XX_SUCCESS,server/src/routes/incidents.ts:425-446,"... res.status(201).json({ status: 'success'; data: entry }); } catch (error) { logger.error(...); throw error instanceof AppError ? error : new AppError('Failed to add timeline entry'; 500); }",2026-05-25T00:00:00Z,controllers_chunk_02
81,server/src/routes/incidents.ts,480,"res.status(201).json({ status: 'success'; data: task });",STATUS_2XX_SUCCESS,server/src/routes/incidents.ts:453-485,"... res.status(201).json({ status: 'success'; data: task }); } catch (error) { logger.error(...); throw error instanceof AppError ? error : new AppError('Failed to create incident task'; 500); }",2026-05-25T00:00:00Z,controllers_chunk_02
82,server/src/routes/maturity.ts,259,"res.status(201).json({ status: 'success'; data: assessment });",STATUS_2XX_SUCCESS,server/src/routes/maturity.ts:245-265,"... res.status(201).json({ status: 'success'; data: assessment }); } catch (error) { if (error instanceof AppError) throw error; logger.error(...); throw new AppError('Failed to create assessment'; 500); }",2026-05-25T00:00:00Z,controllers_chunk_02
83,server/src/routes/controlEffectiveness.ts,431,"res.status(201).json({ status: 'success'; data: record });",STATUS_2XX_SUCCESS,server/src/routes/controlEffectiveness.ts:415-438,"... res.status(201).json({ status: 'success'; data: record }); } catch (error) { if (error instanceof AppError) throw error; logger.error(...); throw new AppError('Failed to create effectiveness assessment'; 500); }",2026-05-25T00:00:00Z,controllers_chunk_02
84,server/src/routes/soc2.ts,61,"res.status(201).json({ status: 'success'; data });",STATUS_2XX_SUCCESS,server/src/routes/soc2.ts:51-63,"router.post('/engagements'; ... authAsyncHandler(async (req; res) => { const data = await soc2Service.createEngagement({...}); res.status(201).json({ status: 'success'; data }); }));  // delegated error handling",2026-05-25T00:00:00Z,controllers_chunk_02
85,server/src/routes/soc2.ts,107,"res.status(201).json({ status: 'success'; data });",STATUS_2XX_SUCCESS,server/src/routes/soc2.ts:98-109,"router.post('/engagements/:id/seed-controls'; ... authAsyncHandler(async (req; res) => { const data = await soc2Service.bulkSeedControls(...); res.status(201).json({ status: 'success'; data }); }));",2026-05-25T00:00:00Z,controllers_chunk_02
86,server/src/routes/soc2.ts,123,"res.status(201).json({ status: 'success'; data });",STATUS_2XX_SUCCESS,server/src/routes/soc2.ts:113-125,"router.post('/controls'; ... authAsyncHandler(async (req; res) => { const data = await soc2Service.upsertControl({...}); res.status(201).json({ status: 'success'; data }); }));",2026-05-25T00:00:00Z,controllers_chunk_02
87,server/src/routes/soc2.ts,219,"res.status(201).json({ status: 'success'; data });",STATUS_2XX_SUCCESS,server/src/routes/soc2.ts:209-221,"router.post('/evidence-samples'; ... authAsyncHandler(async (req; res) => { const data = await soc2Service.createEvidenceSample({...}); res.status(201).json({ status: 'success'; data }); }));",2026-05-25T00:00:00Z,controllers_chunk_02
88,server/src/routes/soc2.ts,260,"res.status(201).json({ status: 'success'; data });",STATUS_2XX_SUCCESS,server/src/routes/soc2.ts:250-262,"router.post('/exceptions'; ... authAsyncHandler(async (req; res) => { const data = await soc2Service.createException({...}); res.status(201).json({ status: 'success'; data }); }));",2026-05-25T00:00:00Z,controllers_chunk_02
89,server/src/routes/soc2.ts,313,"res.status(201).json({ status: 'success'; data });",STATUS_2XX_SUCCESS,server/src/routes/soc2.ts:303-315,"router.post('/cuecs'; ... authAsyncHandler(async (req; res) => { const data = await soc2Service.createCUEC({...}); res.status(201).json({ status: 'success'; data }); }));",2026-05-25T00:00:00Z,controllers_chunk_02
90,server/src/routes/soc2.ts,339,"res.status(201).json({ status: 'success'; data });",STATUS_2XX_SUCCESS,server/src/routes/soc2.ts:329-341,"router.post('/assertions'; ... authAsyncHandler(async (req; res) => { const data = await soc2Service.createManagementAssertion({...}); res.status(201).json({ status: 'success'; data }); }));",2026-05-25T00:00:00Z,controllers_chunk_02
91,server/src/routes/enterprise.ts,67,res.status(201).json(assessment);,STATUS_2XX_SUCCESS,server/src/routes/enterprise.ts:57-69,"riskRouter.post('/assessments'; ... authAsyncHandler(async (req; res) => { const assessment = await riskManagementService.createRiskAssessment({...}); res.status(201).json(assessment); }));",2026-05-25T00:00:00Z,controllers_chunk_02
92,server/src/routes/enterprise.ts,120,res.status(201).json(questionnaire);,STATUS_2XX_SUCCESS,server/src/routes/enterprise.ts:110-122,"questionnaireRouter.post('/'; ... authAsyncHandler(async (req; res) => { const questionnaire = await questionnaireService.createQuestionnaire({...}); res.status(201).json(questionnaire); }));",2026-05-25T00:00:00Z,controllers_chunk_02
