op_number,file,line,model,operation,verdict,evidence_function_name,evidence_org_check_line,notes
070,server/src/services/advanced/blockchainService.ts,2052,auditLog,create,ORG_IN_WHERE_OR_DATA,async startRegistryEventListeners(): Promise<void> {,server/src/services/advanced/blockchainService.ts:1916,organizationId referenced before write in function
071,server/src/services/advanced/blockchainService.ts,2087,auditLog,create,ORG_IN_WHERE_OR_DATA,async startRegistryEventListeners(): Promise<void> {,server/src/services/advanced/blockchainService.ts:1916,organizationId referenced before write in function
072,server/src/services/advanced/blockchainService.ts,2189,unknown,unknown,NON_PRISMA_FALSE_POSITIVE,async anchorEvidenceHash(,server/src/services/advanced/blockchainService.ts:2189,non-prisma: const evidenceHash = crypto.createHash('sha256').update(fileBuffer).digest('hex');
073,server/src/services/advanced/blockchainService.ts,2203,unknown,unknown,NON_PRISMA_FALSE_POSITIVE,async anchorEvidenceHash(,server/src/services/advanced/blockchainService.ts:2203,non-prisma: const metadataHash = crypto.createHash('sha256').update(metadataStr).digest('hex');
074,server/src/services/advanced/blockchainService.ts,2255,auditLog,create,ORG_IN_WHERE_OR_DATA,async anchorEvidenceHash(,server/src/services/advanced/blockchainService.ts:2243,organizationId in prisma where/data
075,server/src/services/advanced/blockchainService.ts,2311,unknown,unknown,NON_PRISMA_FALSE_POSITIVE,async detectTampering(,server/src/services/advanced/blockchainService.ts:2311,non-prisma: const currentHash = crypto.createHash('sha256').update(currentFileBuffer).digest('hex');
076,server/src/services/advanced/blockchainService.ts,2374,auditLog,create,ORG_IN_PRIOR_findFirst,async detectTampering(,server/src/services/advanced/blockchainService.ts:2314,prior findFirst/findUnique with organizationId
077,server/src/services/advanced/byokService.ts,186,unknown,unknown,ORG_IN_WHERE_OR_DATA,"private getVaultClient(vaultUrl: string, token?: string): AxiosInstance {",server/src/services/advanced/byokService.ts:205,organizationId present in function (2 refs)
078,server/src/services/advanced/byokService.ts,402,unknown,unknown,NON_PRISMA_FALSE_POSITIVE,async encryptData(,server/src/services/advanced/byokService.ts:402,"non-prisma: cipher.update(dataBuffer),"
079,server/src/services/advanced/byokService.ts,469,unknown,unknown,NON_PRISMA_FALSE_POSITIVE,async decryptData(,server/src/services/advanced/byokService.ts:469,"non-prisma: decipher.update(Buffer.from(encryptedPayload.ciphertext, 'base64')),"
080,server/src/services/advanced/byokService.ts,919,keyUsage,create,ORG_IN_WHERE_OR_DATA,private async trackKeyUsage(,server/src/services/advanced/byokService.ts:910,organizationId in prisma where/data
081,server/src/services/advanced/byokService.ts,992,keyRotationPolicy,upsert,ORG_IN_WHERE_OR_DATA,async setKeyRotationPolicy(,server/src/services/advanced/byokService.ts:986,organizationId in prisma where/data
082,server/src/services/advanced/byokService.ts,1100,keyRotationPolicy,update,ORG_IN_WHERE_OR_DATA,async checkAndRotateKeys(organizationId?: string): Promise<number> {,server/src/services/advanced/byokService.ts:1102,organizationId in prisma where/data
083,server/src/services/advanced/byokService.ts,1115,auditLog,create,ORG_IN_WHERE_OR_DATA,async checkAndRotateKeys(organizationId?: string): Promise<number> {,server/src/services/advanced/byokService.ts:1102,organizationId in prisma where/data
084,server/src/services/advanced/byokService.ts,1137,auditLog,create,ORG_IN_WHERE_OR_DATA,async checkAndRotateKeys(organizationId?: string): Promise<number> {,server/src/services/advanced/byokService.ts:1039,organizationId referenced before write in function
085,server/src/services/advanced/byokService.ts,1171,auditLog,create,ORG_IN_WHERE_OR_DATA,private async storeEncryptionMetadata(,server/src/services/advanced/byokService.ts:1166,organizationId in prisma where/data
086,server/src/services/advanced/byokService.ts,1240,unknown,unknown,NON_PRISMA_FALSE_POSITIVE,async scheduleKeyDeletion(,server/src/services/advanced/byokService.ts:1240,non-prisma: await vaultClient.delete(`/v1/${mountPoint}/keys/${config.keyId}`);
087,server/src/services/advanced/complianceAsCodeService.ts,125,compliancePolicy,create,ORG_IN_WHERE_OR_DATA,async createPolicy(,server/src/services/advanced/complianceAsCodeService.ts:127,organizationId in prisma where/data
088,server/src/services/advanced/complianceAsCodeService.ts,377,auditLog,create,ORG_IN_WHERE_OR_DATA,async setupCIIntegration(,server/src/services/advanced/complianceAsCodeService.ts:370,organizationId in prisma where/data
089,server/src/services/advanced/complianceAsCodeService.ts,453,unknown,unknown,NON_PRISMA_FALSE_POSITIVE,private verifyWebhookSignature(,server/src/services/advanced/complianceAsCodeService.ts:453,non-prisma: const expected = hmac.update(JSON.stringify(payload)).digest('hex');
090,server/src/services/advanced/complianceAsCodeService.ts,481,unknown,unknown,NON_PRISMA_FALSE_POSITIVE,private verifyWebhookSignature(,server/src/services/advanced/complianceAsCodeService.ts:481,non-prisma: const expected = hmac.update(JSON.stringify(payload)).digest('hex');
091,server/src/services/advanced/complianceAsCodeService.ts,1085,compliancePolicy,create,ORG_IN_WHERE_OR_DATA,async updatePolicy(,server/src/services/advanced/complianceAsCodeService.ts:1074,organizationId in prisma where/data
092,server/src/services/advanced/complianceAsCodeService.ts,1141,compliancePolicy,create,ORG_IN_WHERE_OR_DATA,"async rollbackPolicy(policyId: string, organizationId: string): Promise<Policy> ",server/src/services/advanced/complianceAsCodeService.ts:1132,organizationId in prisma where/data
093,server/src/services/advanced/complianceAsCodeService.ts,1186,compliancePolicy,update,NON_PRISMA_FALSE_POSITIVE,"async deletePolicy(policyId: string, organizationId: string): Promise<void> {",server/src/services/advanced/complianceAsCodeService.ts:1186,"non-prisma: await axios.delete(`${this.opaEndpoint}/v1/policies/${policyId}`, {"
094,server/src/services/advanced/complianceAsCodeService.ts,1190,compliancePolicy,update,NON_PRISMA_FALSE_POSITIVE,"async deletePolicy(policyId: string, organizationId: string): Promise<void> {",server/src/services/advanced/complianceAsCodeService.ts:1190,non-prisma: await axios.delete(`${this.opaEndpoint}/v1/policies/${policyId}`).catch(() => {
095,server/src/services/advanced/complianceAsCodeService.ts,1196,compliancePolicy,update,ORG_IN_WHERE_OR_DATA,"async deletePolicy(policyId: string, organizationId: string): Promise<void> {",server/src/services/advanced/complianceAsCodeService.ts:1204,organizationId in prisma where/data
096,server/src/services/advanced/complianceAsCodeService.ts,1201,compliancePolicy,update,ORG_IN_WHERE_OR_DATA,"async deletePolicy(policyId: string, organizationId: string): Promise<void> {",server/src/services/advanced/complianceAsCodeService.ts:1204,organizationId in prisma where/data
097,server/src/services/advanced/complianceDigitalTwinService.ts,189,simulationScenario,create,ORG_IN_WHERE_OR_DATA,async runSimulation(,server/src/services/advanced/complianceDigitalTwinService.ts:46,organizationId referenced before write in function
098,server/src/services/advanced/complianceDigitalTwinService.ts,222,simulationResult,create,ORG_IN_WHERE_OR_DATA,async runSimulation(,server/src/services/advanced/complianceDigitalTwinService.ts:46,organizationId referenced before write in function
099,server/src/services/advanced/complianceDigitalTwinService.ts,243,auditLog,create,ORG_IN_WHERE_OR_DATA,async runSimulation(,server/src/services/advanced/complianceDigitalTwinService.ts:46,organizationId referenced before write in function
100,server/src/services/advanced/complianceDigitalTwinService.ts,1124,simulationScenario,update,ORG_IN_WHERE_OR_DATA,async saveSimulationState(,server/src/services/advanced/complianceDigitalTwinService.ts:1118,organizationId in prisma where/data
101,server/src/services/advanced/complianceDigitalTwinService.ts,1190,simulationResult,deleteMany,ORG_IN_WHERE_OR_DATA,async rollbackSimulation(,server/src/services/advanced/complianceDigitalTwinService.ts:1181,organizationId in prisma where/data
102,server/src/services/advanced/complianceDigitalTwinService.ts,1198,simulationResult,deleteMany,ORG_IN_WHERE_OR_DATA,async rollbackSimulation(,server/src/services/advanced/complianceDigitalTwinService.ts:1193,organizationId in prisma where/data
103,server/src/services/advanced/deepfakeDetectionService.ts,974,unknown,unknown,NON_PRISMA_FALSE_POSITIVE,private computeCacheKey(buffer: Buffer): string {,server/src/services/advanced/deepfakeDetectionService.ts:974,"non-prisma: return crypto.createHash('sha256').update(buffer.slice(0, Math.min(buffer.length, 65536))).digest('h"
104,server/src/services/advanced/deepfakeDetectionService.ts,1067,unknown,unknown,NON_PRISMA_FALSE_POSITIVE,private startCacheCleanup(): void {,server/src/services/advanced/deepfakeDetectionService.ts:1067,non-prisma: if (now - entry.timestamp > this.CACHE_TTL_MS) this.resultCache.delete(key);
105,server/src/services/advanced/dp/budgetLedger.ts,119,privacyBudgetLedger,create,ORG_IN_WHERE_OR_DATA,export async function commitSpend(,server/src/services/advanced/dp/budgetLedger.ts:121,organizationId in prisma where/data
106,server/src/services/advanced/dp/secretSharing.ts,48,unknown,unknown,NON_PRISMA_FALSE_POSITIVE,(unknown),server/src/services/advanced/dp/secretSharing.ts:48,"non-prisma: const prk = createHmac(HASH, salt).update(seed).digest();"
107,server/src/services/advanced/dp/secretSharing.ts,55,unknown,unknown,NON_PRISMA_FALSE_POSITIVE,(unknown),server/src/services/advanced/dp/secretSharing.ts:55,"non-prisma: h.update(Buffer.concat([prev, infoBuf, Buffer.from([i])]));"
108,server/src/services/advanced/evidenceTruthLayerService.ts,137,evidenceAnalysis,create,ORG_IN_WHERE_OR_DATA,async analyzeEvidence(,server/src/services/advanced/evidenceTruthLayerService.ts:140,organizationId in prisma where/data
109,server/src/services/advanced/evidenceTruthLayerService.ts,155,auditLog,create,ORG_IN_WHERE_OR_DATA,async analyzeEvidence(,server/src/services/advanced/evidenceTruthLayerService.ts:140,organizationId in prisma where/data
110,server/src/services/advanced/evidenceTruthLayerService.ts,548,unknown,unknown,NON_PRISMA_FALSE_POSITIVE,private generateCryptographicHash(fileBuffer: Buffer): string {,server/src/services/advanced/evidenceTruthLayerService.ts:548,non-prisma: return crypto.createHash('sha256').update(fileBuffer).digest('hex');
111,server/src/services/advanced/evidenceTruthLayerService.ts,582,unknown,unknown,NON_PRISMA_FALSE_POSITIVE,async signEvidence(,server/src/services/advanced/evidenceTruthLayerService.ts:582,non-prisma: sign.update(hash);
112,server/src/services/advanced/evidenceTruthLayerService.ts,608,unknown,unknown,NON_PRISMA_FALSE_POSITIVE,async verifyEvidenceSignature(,server/src/services/advanced/evidenceTruthLayerService.ts:608,non-prisma: verify.update(hash);
113,server/src/services/advanced/evidenceTruthLayerService.ts,673,keyUsage,create,ORG_IN_WHERE_OR_DATA,private async getOrganizationSigningKey(organizationId: string): Promise<{ priva,server/src/services/advanced/evidenceTruthLayerService.ts:665,organizationId in prisma where/data
114,server/src/services/advanced/evidenceTruthLayerService.ts,720,keyRotationPolicy,create,ORG_IN_WHERE_OR_DATA,private async getOrganizationSigningKey(organizationId: string): Promise<{ priva,server/src/services/advanced/evidenceTruthLayerService.ts:705,organizationId in prisma where/data
115,server/src/services/advanced/evidenceTruthLayerService.ts,733,keyUsage,create,ORG_IN_PRIOR_findFirst,private async getOrganizationSigningKey(organizationId: string): Promise<{ priva,server/src/services/advanced/evidenceTruthLayerService.ts:628,prior findFirst/findUnique with organizationId
116,server/src/services/advanced/evidenceTruthLayerService.ts,784,auditLog,create,NON_PRISMA_FALSE_POSITIVE,async timestampEvidence(,server/src/services/advanced/evidenceTruthLayerService.ts:784,non-prisma: const timestampHash = crypto.createHash('sha256').update(timestampData).digest('hex');
117,server/src/services/advanced/evidenceTruthLayerService.ts,787,auditLog,create,ORG_IN_WHERE_OR_DATA,async timestampEvidence(,server/src/services/advanced/evidenceTruthLayerService.ts:773,organizationId in prisma where/data
118,server/src/services/advanced/evidenceTruthLayerService.ts,824,auditLog,create,NON_PRISMA_FALSE_POSITIVE,async createChainOfCustody(,server/src/services/advanced/evidenceTruthLayerService.ts:824,non-prisma: const hash = crypto.createHash('sha256').update(chainData).digest('hex');
119,server/src/services/advanced/evidenceTruthLayerService.ts,827,auditLog,create,ORG_IN_WHERE_OR_DATA,async createChainOfCustody(,server/src/services/advanced/evidenceTruthLayerService.ts:813,organizationId in prisma where/data
120,server/src/services/advanced/evidenceTruthLayerService.ts,885,userSigningKey,create,ORG_IN_WHERE_OR_DATA,async getOrCreateUserSigningKey(,server/src/services/advanced/evidenceTruthLayerService.ts:888,organizationId in prisma where/data
121,server/src/services/advanced/evidenceTruthLayerService.ts,929,evidenceAttestation,create,NON_PRISMA_FALSE_POSITIVE,async createMultiPartyAttestation(,server/src/services/advanced/evidenceTruthLayerService.ts:929,non-prisma: signer.update(signData);
122,server/src/services/advanced/evidenceTruthLayerService.ts,933,evidenceAttestation,create,ORG_IN_WHERE_OR_DATA,async createMultiPartyAttestation(,server/src/services/advanced/evidenceTruthLayerService.ts:927,organizationId in prisma where/data
123,server/src/services/advanced/evidenceTruthLayerService.ts,958,auditLog,create,ORG_IN_WHERE_OR_DATA,async createMultiPartyAttestation(,server/src/services/advanced/evidenceTruthLayerService.ts:972,organizationId in prisma where/data
124,server/src/services/advanced/evidenceTruthLayerService.ts,2023,evidenceAnalysis,deleteMany,ORG_IN_WHERE_OR_DATA,async reanalyzeEvidence(,server/src/services/advanced/evidenceTruthLayerService.ts:2013,organizationId in prisma where/data
125,server/src/services/advanced/evidenceTruthLayerService.ts,2465,unknown,unknown,NON_PRISMA_FALSE_POSITIVE,async verifyIntegrity(,server/src/services/advanced/evidenceTruthLayerService.ts:2465,non-prisma: const currentHash = crypto.createHash('sha256').update(currentFileBuffer).digest('hex');
126,server/src/services/advanced/evidenceTruthLayerService.ts,2518,auditLog,create,ORG_IN_WHERE_OR_DATA,async verifyIntegrity(,server/src/services/advanced/evidenceTruthLayerService.ts:2523,organizationId in prisma where/data
127,server/src/services/advanced/federatedSwarmService.ts,96,auditLog,create,ORG_IN_WHERE_OR_DATA,async joinFederation(,server/src/services/advanced/federatedSwarmService.ts:83,organizationId in prisma where/data
128,server/src/services/advanced/federatedSwarmService.ts,110,federatedSwarmPeer,create,ORG_IN_WHERE_OR_DATA,async joinFederation(,server/src/services/advanced/federatedSwarmService.ts:104,organizationId in prisma where/data
