site_number,file,line,call_signature,verdict,severity,evidence_quote,verified_at,verified_by,session
47,./server/src/controllers/acosController.ts,257,      logger.error('Execute action error'; error);,SAFE_LOG,N/A,      logger.error('Execute action error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
48,./server/src/controllers/acosController.ts,273,      logger.error('Rollback action error'; error);,SAFE_LOG,N/A,      logger.error('Rollback action error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
49,./server/src/controllers/acosController.ts,292,      logger.error('Rollback multiple actions error'; error);,SAFE_LOG,N/A,      logger.error('Rollback multiple actions error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
50,./server/src/controllers/acosController.ts,316,      logger.error('Analyze evidence error'; error);,SAFE_LOG,N/A,      logger.error('Analyze evidence error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
51,./server/src/controllers/acosController.ts,334,      logger.error('Get evidence analysis error'; error);,SAFE_LOG,N/A,      logger.error('Get evidence analysis error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
52,./server/src/controllers/acosController.ts,358,      logger.error('Re-analyze evidence error'; error);,SAFE_LOG,N/A,      logger.error('Re-analyze evidence error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
53,./server/src/controllers/acosController.ts,373,      logger.error('Get analysis history error'; error);,SAFE_LOG,N/A,      logger.error('Get analysis history error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
54,./server/src/controllers/acosController.ts,393,      logger.error('Bulk analyze evidence error'; error);,SAFE_LOG,N/A,      logger.error('Bulk analyze evidence error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
55,./server/src/controllers/acosController.ts,412,      logger.error('Export analysis report error'; error);,SAFE_LOG,N/A,      logger.error('Export analysis report error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
56,./server/src/controllers/acosController.ts,433,      logger.error('Verify file hash error'; error);,SAFE_LOG,N/A,      logger.error('Verify file hash error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
57,./server/src/controllers/acosController.ts,454,      logger.error('Sign evidence error'; error);,SAFE_LOG,N/A,      logger.error('Sign evidence error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
58,./server/src/controllers/acosController.ts,476,      logger.error('Verify evidence signature error'; error);,SAFE_LOG,N/A,      logger.error('Verify evidence signature error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
59,./server/src/controllers/acosController.ts,497,      logger.error('Timestamp evidence error'; error);,SAFE_LOG,N/A,      logger.error('Timestamp evidence error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
60,./server/src/controllers/acosController.ts,521,      logger.error('Create chain of custody error'; error);,SAFE_LOG,N/A,      logger.error('Create chain of custody error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
61,./server/src/controllers/acosController.ts,545,      logger.error('Create multi-party attestation error'; error);,SAFE_LOG,N/A,      logger.error('Create multi-party attestation error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
62,./server/src/controllers/acosController.ts,584,      logger.error('Analyze and anchor error'; error);,SAFE_LOG,N/A,      logger.error('Analyze and anchor error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
63,./server/src/controllers/acosController.ts,607,      logger.error('Verify integrity error'; error);,SAFE_LOG,N/A,      logger.error('Verify integrity error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
64,./server/src/controllers/acosController.ts,623,      logger.error('Get provenance report error'; error);,SAFE_LOG,N/A,      logger.error('Get provenance report error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
65,./server/src/controllers/acosController.ts,634,      logger.error('Get anchor SLA error'; error);,SAFE_LOG,N/A,      logger.error('Get anchor SLA error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
66,./server/src/controllers/acosController.ts,662,      logger.error('Ingest regulation error'; error);,SAFE_LOG,N/A,      logger.error('Ingest regulation error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
67,./server/src/controllers/acosController.ts,678,      logger.error('Detect regulatory changes error'; error);,SAFE_LOG,N/A,      logger.error('Detect regulatory changes error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
68,./server/src/controllers/acosController.ts,693,      logger.error('Bulk conflict analysis error'; error);,SAFE_LOG,N/A,      logger.error('Bulk conflict analysis error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
69,./server/src/controllers/acosController.ts,708,      logger.error('Get conflict history error'; error);,SAFE_LOG,N/A,      logger.error('Get conflict history error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
70,./server/src/controllers/acosController.ts,725,      logger.error('Resolve conflict error'; error);,SAFE_LOG,N/A,      logger.error('Resolve conflict error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
71,./server/src/controllers/acosController.ts,742,      logger.error('Rollback auto-update error'; error);,SAFE_LOG,N/A,      logger.error('Rollback auto-update error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
72,./server/src/controllers/acosController.ts,759,      logger.error('Batch auto-update error'; error);,SAFE_LOG,N/A,      logger.error('Batch auto-update error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
73,./server/src/controllers/acosController.ts,774,      logger.error('Add feed error'; error);,SAFE_LOG,N/A,      logger.error('Add feed error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
74,./server/src/controllers/acosController.ts,790,      logger.error('Remove feed error'; error);,SAFE_LOG,N/A,      logger.error('Remove feed error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
75,./server/src/controllers/acosController.ts,803,      logger.error('Get feed status dashboard error'; error);,SAFE_LOG,N/A,      logger.error('Get feed status dashboard error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
76,./server/src/controllers/acosController.ts,819,      logger.error('Auto update controls error'; error);,SAFE_LOG,N/A,      logger.error('Auto update controls error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
77,./server/src/controllers/acosController.ts,840,      logger.error('Predict future risks error'; error);,SAFE_LOG,N/A,      logger.error('Predict future risks error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
78,./server/src/controllers/acosController.ts,853,      logger.error('Get historical accuracy error'; error);,SAFE_LOG,N/A,      logger.error('Get historical accuracy error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
79,./server/src/controllers/acosController.ts,868,      logger.error('Refresh risk predictions error'; error);,SAFE_LOG,N/A,      logger.error('Refresh risk predictions error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
80,./server/src/controllers/acosController.ts,902,      logger.error('Predict compliance trajectory error'; error);,SAFE_LOG,N/A,      logger.error('Predict compliance trajectory error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
81,./server/src/controllers/acosController.ts,919,      logger.error('Recalculate trajectory error'; error);,SAFE_LOG,N/A,      logger.error('Recalculate trajectory error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
82,./server/src/controllers/acosController.ts,940,      logger.error('Get early warnings error'; error);,SAFE_LOG,N/A,      logger.error('Get early warnings error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
83,./server/src/controllers/acosController.ts,958,      logger.error('Acknowledge warning error'; error);,SAFE_LOG,N/A,      logger.error('Acknowledge warning error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
84,./server/src/controllers/acosController.ts,978,      logger.error('Get warning history error'; error);,SAFE_LOG,N/A,      logger.error('Get warning history error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
85,./server/src/controllers/acosController.ts,991,      logger.error('Get false positive rate error'; error);,SAFE_LOG,N/A,      logger.error('Get false positive rate error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
86,./server/src/controllers/acosController.ts,1007,      logger.error('Run simulation error'; error);,SAFE_LOG,N/A,      logger.error('Run simulation error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
87,./server/src/controllers/acosController.ts,1024,      logger.error('Run simulation with constraints error'; error);,SAFE_LOG,N/A,      logger.error('Run simulation with constraints error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
88,./server/src/controllers/acosController.ts,1040,      logger.error('Compare scenarios error'; error);,SAFE_LOG,N/A,      logger.error('Compare scenarios error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
89,./server/src/controllers/acosController.ts,1058,      logger.error('Save simulation state error'; error);,SAFE_LOG,N/A,      logger.error('Save simulation state error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
90,./server/src/controllers/acosController.ts,1073,      logger.error('Load simulation state error'; error);,SAFE_LOG,N/A,      logger.error('Load simulation state error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
91,./server/src/controllers/acosController.ts,1089,      logger.error('Rollback simulation error'; error);,SAFE_LOG,N/A,      logger.error('Rollback simulation error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
92,./server/src/controllers/acosController.ts,1113,      logger.error('Run Monte Carlo error'; error);,SAFE_LOG,N/A,      logger.error('Run Monte Carlo error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
93,./server/src/controllers/acosController.ts,1129,      logger.error('Run red team simulation error'; error);,SAFE_LOG,N/A,      logger.error('Run red team simulation error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
94,./server/src/controllers/acosController.ts,1144,      logger.error('Run automated scan error'; error);,SAFE_LOG,N/A,      logger.error('Run automated scan error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
95,./server/src/controllers/acosController.ts,1159,      logger.error('Scan for compliance gaps error'; error);,SAFE_LOG,N/A,      logger.error('Scan for compliance gaps error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
96,./server/src/controllers/acosController.ts,1172,      logger.error('Scan for misconfigurations error'; error);,SAFE_LOG,N/A,      logger.error('Scan for misconfigurations error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
97,./server/src/controllers/acosController.ts,1185,      logger.error('Scan for policy violations error'; error);,SAFE_LOG,N/A,      logger.error('Scan for policy violations error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
98,./server/src/controllers/acosController.ts,1200,      logger.error('Schedule scan error'; error);,SAFE_LOG,N/A,      logger.error('Schedule scan error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
99,./server/src/controllers/acosController.ts,1214,      logger.error('Export scan results error'; error);,SAFE_LOG,N/A,      logger.error('Export scan results error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
100,./server/src/controllers/acosController.ts,1228,      logger.error('Compare scan results error'; error);,SAFE_LOG,N/A,      logger.error('Compare scan results error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
101,./server/src/controllers/acosController.ts,1245,      logger.error('Mark false positive error'; error);,SAFE_LOG,N/A,      logger.error('Mark false positive error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
102,./server/src/controllers/acosController.ts,1260,      logger.error('Join federation error'; error);,SAFE_LOG,N/A,      logger.error('Join federation error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
103,./server/src/controllers/acosController.ts,1275,      logger.error('Leave federation error'; error);,SAFE_LOG,N/A,      logger.error('Leave federation error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
104,./server/src/controllers/acosController.ts,1290,      logger.error('Contribute to federation error'; error);,SAFE_LOG,N/A,      logger.error('Contribute to federation error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
105,./server/src/controllers/acosController.ts,1306,      logger.error('Receive federated model error'; error);,SAFE_LOG,N/A,      logger.error('Receive federated model error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
106,./server/src/controllers/acosController.ts,1320,      logger.error('Recover federation error'; error);,SAFE_LOG,N/A,      logger.error('Recover federation error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
107,./server/src/controllers/acosController.ts,1345,      logger.error('Get swarm insights error'; error);,SAFE_LOG,N/A,      logger.error('Get swarm insights error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
108,./server/src/controllers/acosController.ts,1360,      logger.error('Get industry insights error'; error);,SAFE_LOG,N/A,      logger.error('Get industry insights error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
109,./server/src/controllers/acosController.ts,1375,      logger.error('Get sector insights error'; error);,SAFE_LOG,N/A,      logger.error('Get sector insights error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
110,./server/src/controllers/acosController.ts,1390,      logger.error('Get framework insights error'; error);,SAFE_LOG,N/A,      logger.error('Get framework insights error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
111,./server/src/controllers/acosController.ts,1405,      logger.error('Benchmark against peers error'; error);,SAFE_LOG,N/A,      logger.error('Benchmark against peers error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
112,./server/src/controllers/acosController.ts,1420,      logger.error('Identify trends error'; error);,SAFE_LOG,N/A,      logger.error('Identify trends error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
113,./server/src/controllers/acosController.ts,1434,      logger.error('Export insights error'; error);,SAFE_LOG,N/A,      logger.error('Export insights error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
114,./server/src/controllers/acosController.ts,1451,      logger.error('Rollback model error'; error);,SAFE_LOG,N/A,      logger.error('Rollback model error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
115,./server/src/controllers/acosController.ts,1466,      logger.error('Distribute model error'; error);,SAFE_LOG,N/A,      logger.error('Distribute model error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
116,./server/src/controllers/acosController.ts,1480,      logger.error('Get model audit trail error'; error);,SAFE_LOG,N/A,      logger.error('Get model audit trail error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
117,./server/src/controllers/acosController.ts,1501,      logger.error('Transcribe audio error'; error);,SAFE_LOG,N/A,      logger.error('Transcribe audio error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
118,./server/src/controllers/acosController.ts,1521,      logger.error('Analyze video error'; error);,SAFE_LOG,N/A,      logger.error('Analyze video error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
119,./server/src/controllers/acosController.ts,1537,      logger.error('Register device error'; error);,SAFE_LOG,N/A,      logger.error('Register device error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
120,./server/src/controllers/acosController.ts,1552,      logger.error('Perform edge compliance check error'; error);,SAFE_LOG,N/A,      logger.error('Perform edge compliance check error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
121,./server/src/controllers/acosController.ts,1568,      logger.error('Bulk register devices error'; error);,SAFE_LOG,N/A,      logger.error('Bulk register devices error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
122,./server/src/controllers/acosController.ts,1584,      logger.error('Deregister device error'; error);,SAFE_LOG,N/A,      logger.error('Deregister device error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
123,./server/src/controllers/acosController.ts,1600,      logger.error('Monitor device heartbeat error'; error);,SAFE_LOG,N/A,      logger.error('Monitor device heartbeat error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
124,./server/src/controllers/acosController.ts,1613,      logger.error('Detect offline devices error'; error);,SAFE_LOG,N/A,      logger.error('Detect offline devices error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
125,./server/src/controllers/acosController.ts,1628,      logger.error('Monitor battery level error'; error);,SAFE_LOG,N/A,      logger.error('Monitor battery level error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
126,./server/src/controllers/acosController.ts,1643,      logger.error('Monitor connectivity error'; error);,SAFE_LOG,N/A,      logger.error('Monitor connectivity error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
127,./server/src/controllers/acosController.ts,1658,      logger.error('Track firmware version error'; error);,SAFE_LOG,N/A,      logger.error('Track firmware version error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
128,./server/src/controllers/acosController.ts,1671,      logger.error('Get health dashboard error'; error);,SAFE_LOG,N/A,      logger.error('Get health dashboard error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
129,./server/src/controllers/acosController.ts,1688,      logger.error('Get health history error'; error);,SAFE_LOG,N/A,      logger.error('Get health history error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
130,./server/src/controllers/acosController.ts,1703,      logger.error('Perform predictive maintenance error'; error);,SAFE_LOG,N/A,      logger.error('Perform predictive maintenance error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
131,./server/src/controllers/acosController.ts,1716,      logger.error('Bulk health check error'; error);,SAFE_LOG,N/A,      logger.error('Bulk health check error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
132,./server/src/controllers/acosController.ts,1727,      logger.error('Get devices error'; error);,SAFE_LOG,N/A,      logger.error('Get devices error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
133,./server/src/controllers/acosController.ts,1743,      logger.error('Create VR session error'; error);,SAFE_LOG,N/A,      logger.error('Create VR session error'; error);,2026-05-28T23:00:00Z,session8_subagents_1-20,session8
