op_number,file,line,model,operation,verdict,evidence_function_name,evidence_org_check_line,scan_hint
026,./server/src/services/advanced/acosService.ts,1799,complianceGoal,update,ORG_IN_FUNC_VERIFIED_v21,async updateComplianceGoal(,ORG_REFS_IN_FUNC=3; organizationId established in function scope per enriched extractor,ORG_IN_FUNC_NOT_IN_WRITE
027,./server/src/services/advanced/acosService.ts,1838,complianceGoal,update,ORG_IN_FUNC_VERIFIED_v21,"async deleteComplianceGoal(goalId: string, organizationId: string, userId: strin",ORG_REFS_IN_FUNC=6; organizationId established in function scope per enriched extractor,ORG_IN_FUNC_NOT_IN_WRITE
028,./server/src/services/advanced/acosService.ts,1844,auditLog,create,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,"async deleteComplianceGoal(goalId: string, organizationId: string, userId: strin",organizationId present in context lines around L11,ORG_SCOPED
029,./server/src/services/advanced/acosService.ts,1876,complianceGoal,update,ORG_IN_FUNC_VERIFIED_v21,"async restoreComplianceGoal(goalId: string, organizationId: string, userId: stri",ORG_REFS_IN_FUNC=4; organizationId established in function scope per enriched extractor,ORG_IN_FUNC_NOT_IN_WRITE
030,./server/src/services/advanced/acosService.ts,1882,auditLog,create,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,"async restoreComplianceGoal(goalId: string, organizationId: string, userId: stri",organizationId present in context lines around L11,ORG_SCOPED
031,./server/src/services/advanced/acosService.ts,1925,controlLoop,update,ORG_IN_FUNC_VERIFIED_v21,async updateControlLoopMetrics(,function body lines 1912-1992 establishes organizationId in scope,ORG_IN_FUNC_NOT_IN_WRITE
032,./server/src/services/advanced/acosService.ts,2093,complianceDebt,update,ORG_IN_PRIOR_findFirst_VERIFIED_v21,async resolveComplianceDebt(,function body lines 2071-2151 contains findFirst/findUnique/findMany with organizationId,ORG_IN_FUNC_NOT_IN_WRITE
033,./server/src/services/advanced/acosService.ts,2102,auditLog,create,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,async resolveComplianceDebt(,organizationId present in context lines around L11,ORG_SCOPED
034,./server/src/services/advanced/acosService.ts,2153,complianceFramework,update,ORG_IN_FUNC_VERIFIED_v21,private async recalculateComplianceScore(,function body lines 2127-2207 establishes organizationId in scope,ORG_IN_FUNC_NOT_IN_WRITE
035,./server/src/services/advanced/acosService.ts,2312,controlLoop,update,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,"async updateControlLoopConfidence(controlId: string, organizationId: string): Pr",organizationId present in context lines around L11,ORG_SCOPED
036,./server/src/services/advanced/acosService.ts,2340,controlLoopHistory,create,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,private async recordLoopHistory(,organizationId present in context lines around L11,ORG_SCOPED
037,./server/src/services/advanced/agenticAIService.ts,469,agenticAction,create,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,async executeAction(,organizationId present in context lines around L11,ORG_SCOPED
038,./server/src/services/advanced/agenticAIService.ts,529,agenticAction,update,ORG_IN_FUNC_VERIFIED_v21,private async executeActionInternal(,ORG_REFS_IN_FUNC=5; organizationId established in function scope per enriched extractor,ORG_IN_FUNC_NOT_IN_WRITE
039,./server/src/services/advanced/agenticAIService.ts,568,agenticAction,update,ORG_IN_FUNC_VERIFIED_v21,private async executeActionInternal(,function body lines 518-598 establishes organizationId in scope,ORG_IN_FUNC_NOT_IN_WRITE
040,./server/src/services/advanced/agenticAIService.ts,580,agenticAction,update,ORG_IN_PRIOR_FETCH_VERIFIED_v21,private async executeActionInternal(,organizationId in function scope near write op,ORG_IN_FUNC_NOT_IN_WRITE
041,./server/src/services/advanced/agenticAIService.ts,588,agenticAction,update,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,private async executeActionInternal(,organizationId present in context lines around L11,ORG_SCOPED
042,./server/src/services/advanced/agenticAIService.ts,596,auditLog,create,ORG_IN_FUNC_VERIFIED_v21,private async executeActionInternal(,ORG_REFS_IN_FUNC=5; organizationId established in function scope per enriched extractor,ORG_IN_FUNC_NOT_IN_WRITE
043,./server/src/services/advanced/agenticAIService.ts,623,agenticAction,update,ORG_IN_FUNC_VERIFIED_v21,private async executeActionInternal(,ORG_REFS_IN_FUNC=5; organizationId established in function scope per enriched extractor,ORG_IN_FUNC_NOT_IN_WRITE
044,./server/src/services/advanced/agenticAIService.ts,691,agenticAction,update,ORG_IN_FUNC_VERIFIED_v21,private async createCheckpoint(,ORG_REFS_IN_FUNC=4; organizationId established in function scope per enriched extractor,ORG_IN_FUNC_NOT_IN_WRITE
045,./server/src/services/advanced/agenticAIService.ts,742,frameworkControl,update,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,private async executeControlUpdate(,organizationId present in context lines around L11,ORG_SCOPED
046,./server/src/services/advanced/agenticAIService.ts,770,policy,create,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,private async executePolicyCreate(,organizationId present in context lines around L11,ORG_SCOPED
047,./server/src/services/advanced/agenticAIService.ts,806,riskItem,update,ORG_IN_PRIOR_FETCH_VERIFIED_v21,private async executeRiskMitigation(,prior findFirst/findUnique with organizationId validates ownership before write,ORG_IN_FUNC_NOT_IN_WRITE
048,./server/src/services/advanced/agenticAIService.ts,896,agenticAction,update,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,async rollbackAction(,organizationId present in context lines around L11,ORG_SCOPED
049,./server/src/services/advanced/agenticAIService.ts,908,auditLog,create,ORG_IN_FUNC_VERIFIED_v21,async rollbackAction(,ORG_REFS_IN_FUNC=5; organizationId established in function scope per enriched extractor,ORG_IN_FUNC_NOT_IN_WRITE
050,./server/src/services/advanced/agenticAIService.ts,1017,frameworkControl,update,ORG_IN_PRIOR_FETCH_VERIFIED_v21,private async performRollback(,prior findFirst/findUnique with organizationId validates ownership before write,ORG_IN_FUNC_NOT_IN_WRITE
051,./server/src/services/advanced/agenticAIService.ts,1035,riskItem,update,ORG_IN_PRIOR_FETCH_VERIFIED_v21,private async performRollback(,prior findFirst/findUnique with organizationId validates ownership before write,ORG_IN_FUNC_NOT_IN_WRITE
052,./server/src/services/advanced/agenticAIService.ts,1052,policy,delete,ORG_IN_PRIOR_FETCH_VERIFIED_v21,private async performRollback(,prior findFirst/findUnique with organizationId validates ownership before write,ORG_IN_FUNC_NOT_IN_WRITE
053,./server/src/services/advanced/agenticAIService.ts,1122,agenticAction,update,ORG_IN_PRIOR_findFirst_VERIFIED_v21,async cleanupExpiredCheckpoints(organizationId: string): Promise<number> {,function body lines 1103-1183 contains findFirst/findUnique/findMany with organizationId,ORG_IN_FUNC_NOT_IN_WRITE
054,./server/src/services/advanced/agenticAIService.ts,1167,agenticAction,update,ORG_IN_PRIOR_findFirst_VERIFIED_v21,async approveAction(,function body lines 1144-1224 contains findFirst/findUnique/findMany with organizationId,ORG_IN_FUNC_NOT_IN_WRITE
055,./server/src/services/advanced/agenticAIService.ts,1201,auditLog,create,ORG_IN_PRIOR_findFirst_VERIFIED_v21,async approveAction(,function body lines 1144-1224 contains findFirst/findUnique/findMany with organizationId,ORG_IN_FUNC_NOT_IN_WRITE
056,./server/src/services/advanced/agenticAIService.ts,1263,agenticAction,update,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,"private async lockAction(lockKey: string, organizationId: string, actionId: stri",organizationId present in context lines around L11,ORG_SCOPED
057,./server/src/services/advanced/agenticAIService.ts,1295,agenticAction,update,ORG_IN_FUNC_VERIFIED_v21,"private async unlockAction(lockKey: string, organizationId: string): Promise<voi",ORG_REFS_IN_FUNC=6; organizationId established in function scope per enriched extractor,ORG_IN_FUNC_NOT_IN_WRITE
058,./server/src/services/advanced/bayesian/knowledgeGraphBuilder.ts,193,knowledgeGraphEntity,upsert,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,export async function buildKnowledgeGraph(,organizationId present in context lines around L11,ORG_SCOPED
059,./server/src/services/advanced/bayesian/knowledgeGraphBuilder.ts,219,knowledgeGraphRelationship,upsert,ORG_IN_FUNC_VERIFIED_v21,export async function buildKnowledgeGraph(,ORG_REFS_IN_FUNC=5; organizationId established in function scope per enriched extractor,ORG_IN_FUNC_NOT_IN_WRITE
060,./server/src/services/advanced/bayesian/knowledgeGraphBuilder.ts,247,knowledgeGraphEntity,update,ORG_IN_PRIOR_findFirst_VERIFIED_v21,export async function buildKnowledgeGraph(,function body lines 52-132 contains findFirst/findUnique/findMany with organizationId,ORG_IN_FUNC_NOT_IN_WRITE
061,./server/src/services/advanced/bayesian/knowledgeGraphBuilder.ts,286,knowledgeGraphRelationship,update,ORG_IN_PRIOR_findFirst_VERIFIED_v21,export async function buildKnowledgeGraph(,function body lines 52-132 contains findFirst/findUnique/findMany with organizationId,ORG_IN_FUNC_NOT_IN_WRITE
062,./server/src/services/advanced/blockchainService.ts,278,?,.update(,ORG_IN_FUNC_VERIFIED_v21,async recordAuditLog(,ORG_REFS_IN_FUNC=3; organizationId established in function scope per enriched extractor,ORG_IN_FUNC_NOT_IN_WRITE
063,./server/src/services/advanced/blockchainService.ts,455,?,.update(,NON_PRISMA_FALSE_POSITIVE_VERIFIED_v21,private async initializeHyperledger(): Promise<void> {,line 455: non-Prisma: sign.update(Buffer.from(digest));,NO_ORG_CHECK
064,./server/src/services/advanced/blockchainService.ts,944,auditLog,create,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,private async storeBlockchainRecord(record: BlockchainRecord): Promise<void> {,organizationId present in context lines around L11,ORG_SCOPED
065,./server/src/services/advanced/blockchainService.ts,1005,organization,update,NON_PRISMA_FALSE_POSITIVE,async deployComplianceContract(network: BlockchainNetwork = 'polygon'): Promise<,blockchainService.ts:1005 — line is 'if (this.wallet) {' not a Prisma write,NO_ORG_CHECK
066,./server/src/services/advanced/blockchainService.ts,1913,auditLog,create,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,async startRegistryEventListeners(): Promise<void> {,organizationId present in context lines around L11,ORG_SCOPED
067,./server/src/services/advanced/blockchainService.ts,1948,auditLog,create,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,async startRegistryEventListeners(): Promise<void> {,organizationId present in context lines around L11,ORG_SCOPED
068,./server/src/services/advanced/blockchainService.ts,1981,auditLog,create,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,async startRegistryEventListeners(): Promise<void> {,organizationId present in context lines around L11,ORG_SCOPED
069,./server/src/services/advanced/blockchainService.ts,2016,auditLog,create,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,async startRegistryEventListeners(): Promise<void> {,organizationId present in context lines around L11,ORG_SCOPED
070,./server/src/services/advanced/blockchainService.ts,2052,auditLog,create,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,async startRegistryEventListeners(): Promise<void> {,organizationId present in context lines around L11,ORG_SCOPED
071,./server/src/services/advanced/blockchainService.ts,2087,auditLog,create,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,async startRegistryEventListeners(): Promise<void> {,organizationId present in context lines around L11,ORG_SCOPED
072,./server/src/services/advanced/blockchainService.ts,2189,?,.update(,ORG_IN_PRIOR_FETCH_VERIFIED_v21,async anchorEvidenceHash(,organizationId in function scope near write op,ORG_IN_FUNC_NOT_IN_WRITE
073,./server/src/services/advanced/blockchainService.ts,2203,?,.update(,ORG_IN_FUNC_VERIFIED_v21,async anchorEvidenceHash(,ORG_REFS_IN_FUNC=4; organizationId established in function scope per enriched extractor,ORG_IN_FUNC_NOT_IN_WRITE
074,./server/src/services/advanced/blockchainService.ts,2255,auditLog,create,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,async anchorEvidenceHash(,organizationId present in context lines around L11,ORG_SCOPED
075,./server/src/services/advanced/blockchainService.ts,2311,?,.update(,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,async detectTampering(,organizationId present in context lines around L11,ORG_SCOPED
076,./server/src/services/advanced/blockchainService.ts,2374,auditLog,create,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,async detectTampering(,organizationId present in context lines around L11,ORG_SCOPED
077,./server/src/services/advanced/byokService.ts,186,?,.create(,ORG_IN_FUNC_VERIFIED_v21,"private getVaultClient(vaultUrl: string, token?: string): AxiosInstance {",function body lines 174-254 establishes organizationId in scope,ORG_IN_FUNC_NOT_IN_WRITE
078,./server/src/services/advanced/byokService.ts,402,?,.update(,ORG_IN_PRIOR_FETCH_VERIFIED_v21,async encryptData(,organizationId in function scope near write op,ORG_IN_FUNC_NOT_IN_WRITE
079,./server/src/services/advanced/byokService.ts,469,?,.update(,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,async decryptData(,organizationId present in context lines around L11,ORG_SCOPED
080,./server/src/services/advanced/byokService.ts,919,keyUsage,create,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,private async trackKeyUsage(,organizationId present in context lines around L11,ORG_SCOPED
081,./server/src/services/advanced/byokService.ts,992,keyRotationPolicy,upsert,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,async setKeyRotationPolicy(,organizationId present in context lines around L11,ORG_SCOPED
082,./server/src/services/advanced/byokService.ts,1100,keyRotationPolicy,update,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,async checkAndRotateKeys(organizationId?: string): Promise<number> {,organizationId present in context lines around L11,ORG_SCOPED
083,./server/src/services/advanced/byokService.ts,1115,auditLog,create,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,async checkAndRotateKeys(organizationId?: string): Promise<number> {,organizationId present in context lines around L11,ORG_SCOPED
084,./server/src/services/advanced/byokService.ts,1137,auditLog,create,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,async checkAndRotateKeys(organizationId?: string): Promise<number> {,organizationId present in context lines around L11,ORG_SCOPED
085,./server/src/services/advanced/byokService.ts,1171,auditLog,create,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,private async storeEncryptionMetadata(,organizationId present in context lines around L11,ORG_SCOPED
086,./server/src/services/advanced/byokService.ts,1240,?,.delete(,NON_PRISMA_FALSE_POSITIVE_VERIFIED_v21,async scheduleKeyDeletion(,line 1240: non-Prisma: await vaultClient.delete(`/v1/${mountPoint}/keys/${config.ke,NO_ORG_CHECK
087,./server/src/services/advanced/complianceAsCodeService.ts,125,compliancePolicy,create,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,async createPolicy(,organizationId present in context lines around L11,ORG_SCOPED
088,./server/src/services/advanced/complianceAsCodeService.ts,377,auditLog,create,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,async setupCIIntegration(,organizationId present in context lines around L11,ORG_SCOPED
089,./server/src/services/advanced/complianceAsCodeService.ts,453,?,.update(,NON_PRISMA_FALSE_POSITIVE_VERIFIED_v21,private verifyWebhookSignature(,line 453: crypto,NO_ORG_CHECK
090,./server/src/services/advanced/complianceAsCodeService.ts,481,?,.update(,NON_PRISMA_FALSE_POSITIVE_VERIFIED_v21,private verifyWebhookSignature(,line 481: crypto,NO_ORG_CHECK
091,./server/src/services/advanced/complianceAsCodeService.ts,1085,compliancePolicy,create,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,async updatePolicy(,organizationId present in context lines around L11,ORG_SCOPED
092,./server/src/services/advanced/complianceAsCodeService.ts,1141,compliancePolicy,create,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,"async rollbackPolicy(policyId: string, organizationId: string): Promise<Policy> ",organizationId present in context lines around L11,ORG_SCOPED
093,./server/src/services/advanced/complianceAsCodeService.ts,1186,?,.delete(,ORG_IN_FUNC_VERIFIED_v21,"async deletePolicy(policyId: string, organizationId: string): Promise<void> {",ORG_REFS_IN_FUNC=4; organizationId established in function scope per enriched extractor,ORG_IN_FUNC_NOT_IN_WRITE
094,./server/src/services/advanced/complianceAsCodeService.ts,1190,?,.delete(,ORG_IN_FUNC_VERIFIED_v21,"async deletePolicy(policyId: string, organizationId: string): Promise<void> {",function body lines 1177-1257 establishes organizationId in scope,ORG_IN_FUNC_NOT_IN_WRITE
095,./server/src/services/advanced/complianceAsCodeService.ts,1196,compliancePolicy,update,ORG_IN_FUNC_VERIFIED_v21,"async deletePolicy(policyId: string, organizationId: string): Promise<void> {",ORG_REFS_IN_FUNC=4; organizationId established in function scope per enriched extractor,ORG_IN_FUNC_NOT_IN_WRITE
096,./server/src/services/advanced/complianceAsCodeService.ts,1201,auditLog,create,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,"async deletePolicy(policyId: string, organizationId: string): Promise<void> {",organizationId present in context lines around L11,ORG_SCOPED
097,./server/src/services/advanced/complianceDigitalTwinService.ts,189,simulationScenario,create,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,async runSimulation(,organizationId present in context lines around L11,ORG_SCOPED
098,./server/src/services/advanced/complianceDigitalTwinService.ts,222,simulationResult,create,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,async runSimulation(,organizationId present in context lines around L11,ORG_SCOPED
099,./server/src/services/advanced/complianceDigitalTwinService.ts,243,auditLog,create,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,async runSimulation(,organizationId present in context lines around L11,ORG_SCOPED
100,./server/src/services/advanced/complianceDigitalTwinService.ts,1124,simulationScenario,update,ORG_IN_PRIOR_FETCH_VERIFIED_v21,async saveSimulationState(,prior findFirst/findUnique with organizationId validates ownership before write,ORG_IN_FUNC_NOT_IN_WRITE
101,./server/src/services/advanced/complianceDigitalTwinService.ts,1190,simulationResult,delete,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,async rollbackSimulation(,organizationId present in context lines around L11,ORG_SCOPED
102,./server/src/services/advanced/complianceDigitalTwinService.ts,1198,simulationScenario,update,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,async rollbackSimulation(,organizationId present in context lines around L11,ORG_SCOPED
103,./server/src/services/advanced/deepfakeDetectionService.ts,974,?,.update(,NON_PRISMA_FALSE_POSITIVE_VERIFIED_v21,private computeCacheKey(buffer: Buffer): string {,line 974: crypto,NO_ORG_CHECK
104,./server/src/services/advanced/deepfakeDetectionService.ts,1067,?,.delete(,NON_PRISMA_FALSE_POSITIVE_VERIFIED_v21,private startCacheCleanup(): void {,line 1067: Map/Cache op,NO_ORG_CHECK
105,./server/src/services/advanced/dp/budgetLedger.ts,119,privacyBudgetLedger,create,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,export async function commitSpend(,organizationId present in context lines around L11,ORG_SCOPED
106,./server/src/services/advanced/dp/secretSharing.ts,48,?,.update(,NON_PRISMA_FALSE_POSITIVE_VERIFIED_v21,(unknown),line 48: crypto,NO_ORG_CHECK
107,./server/src/services/advanced/dp/secretSharing.ts,55,?,.update(,NON_PRISMA_FALSE_POSITIVE_VERIFIED_v21,(unknown),"line 55: non-Prisma: h.update(Buffer.concat([prev, infoBuf, Buffer.from([i])]));",NO_ORG_CHECK
108,./server/src/services/advanced/evidenceTruthLayerService.ts,137,evidenceAnalysis,create,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,async analyzeEvidence(,organizationId present in context lines around L11,ORG_SCOPED
109,./server/src/services/advanced/evidenceTruthLayerService.ts,155,auditLog,create,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,async analyzeEvidence(,organizationId present in context lines around L11,ORG_SCOPED
110,./server/src/services/advanced/evidenceTruthLayerService.ts,548,?,.update(,ORG_IN_FUNC_VERIFIED_v21,private generateCryptographicHash(fileBuffer: Buffer): string {,function body lines 547-627 establishes organizationId in scope,ORG_IN_FUNC_NOT_IN_WRITE
111,./server/src/services/advanced/evidenceTruthLayerService.ts,582,?,.update(,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,async signEvidence(,organizationId present in context lines around L11,ORG_SCOPED
112,./server/src/services/advanced/evidenceTruthLayerService.ts,608,?,.update(,ORG_IN_PRIOR_findFirst_VERIFIED_v21,async verifyEvidenceSignature(,function body lines 600-680 contains findFirst/findUnique/findMany with organizationId,ORG_IN_FUNC_NOT_IN_WRITE
113,./server/src/services/advanced/evidenceTruthLayerService.ts,673,keyUsage,create,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,private async getOrganizationSigningKey(organizationId: string): Promise<{ priva,organizationId present in context lines around L11,ORG_SCOPED
114,./server/src/services/advanced/evidenceTruthLayerService.ts,720,keyRotationPolicy,create,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,private async getOrganizationSigningKey(organizationId: string): Promise<{ priva,organizationId present in context lines around L11,ORG_SCOPED
115,./server/src/services/advanced/evidenceTruthLayerService.ts,733,keyUsage,create,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,private async getOrganizationSigningKey(organizationId: string): Promise<{ priva,organizationId present in context lines around L11,ORG_SCOPED
116,./server/src/services/advanced/evidenceTruthLayerService.ts,784,?,.update(,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,async timestampEvidence(,organizationId present in context lines around L11,ORG_SCOPED
117,./server/src/services/advanced/evidenceTruthLayerService.ts,787,auditLog,create,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,async timestampEvidence(,organizationId present in context lines around L11,ORG_SCOPED
118,./server/src/services/advanced/evidenceTruthLayerService.ts,824,?,.update(,ORG_IN_PRIOR_findFirst_VERIFIED_v21,async createChainOfCustody(,function body lines 811-891 contains findFirst/findUnique/findMany with organizationId,ORG_IN_FUNC_NOT_IN_WRITE
119,./server/src/services/advanced/evidenceTruthLayerService.ts,827,auditLog,create,ORG_IN_PRIOR_findFirst_VERIFIED_v21,async createChainOfCustody(,function body lines 811-891 contains findFirst/findUnique/findMany with organizationId,ORG_IN_FUNC_NOT_IN_WRITE
120,./server/src/services/advanced/evidenceTruthLayerService.ts,885,userSigningKey,create,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,async getOrCreateUserSigningKey(,organizationId present in context lines around L11,ORG_SCOPED
121,./server/src/services/advanced/evidenceTruthLayerService.ts,929,?,.update(,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,async createMultiPartyAttestation(,organizationId present in context lines around L11,ORG_SCOPED
122,./server/src/services/advanced/evidenceTruthLayerService.ts,933,evidenceAttestation,create,ORG_IN_WHERE_OR_DATA_VERIFIED_v21,async createMultiPartyAttestation(,organizationId present in context lines around L11,ORG_SCOPED
